DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/4/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,23,EPIDEMIOLOGIA DA HEPATOXIDADE NO BRASIL,120
6/4/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,2,DISCUSSÃO DE CASOS OPERADOS,70
7/4/2015,SIG AVC,SIG,12,DUPLA ANTIAGREGAÇÃO PLAQUETÁRIA,60
7/4/2015,SIG SENTINELAS EM AÇÃO,SIG,2,GERENCIAMENTO DE RISCO E SEGURANÇA DO PACIENTE,60
8/4/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,21,DISCUSSÃO DE CASOS CLÍNICOS,70
9/4/2015,SIG RCP,SIG,1,BASIC LIFE SUPPORT (BSL),60
10/4/2015,SIG TÉCNICO OPERACIONAL,SIG,2,REVISÃO DO PROCESSO DE HOMOLOGAÇÃO RUTE,180
13/4/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,3,DISCUSSÃO DE CASOS OPERADOS,60
13/4/2015,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,10,SÍNDROME DE BERARDINELLI,60
14/4/2015,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,AULA 10 - CICLO BÁSICO DE PEDIATRIA - FEBRE EM CRIANÇAS SEM SINAIS EXTERNOS,60
14/4/2015,SIG SENTINELAS EM AÇÃO,SIG,3,PREVENÇÃO DA INFECÇÃO PRIMÁRIA DA CORRENTE SANGUÍNEA / PREVENÇÃO DE QUEDAS,60
15/4/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,16,DISCUSSÃO DE CASOS CLÍNICOS,90
16/4/2015,CURSO SBE,VIDEOCONFERÊNCIA,2,AULA 04 - EVIDÊNCIAS EM REUMATOLOGIA,120
16/4/2015,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,20,TRANSTORNO DO ASPECTO DO AUTISMO: A DETECÇÃO PRECOSE PELO PEDIATRA,60
17/4/2015,SIG TELEPSIQUIATRIA,SIG,5,SAÚDE DOS CUIDADORES DE PESSOAS COM DEMÊNCIA: UM ESTUDO BRASILEIRO,120
23/4/2015,SESSÃO PEDIATRIA,REUNIÃO DRª SUZY,37,CADERNETA DA CRIANÇA,240
23/4/2015,CURSO SBE,VIDEOCONFERÊNCIA,1,AULA 05 - NÍVEIS DE EVIDÊNCIA PARA TOMADAS DE DECISÕES,120
24/4/2015,SIG ODONTOLOGIA - DIAGNÓSTICO BUCAL,SIG,6,APRESENTAÇÃO DE CASO CLÍNICO,60
24/4/2015,SIG UROLOGIA PEDIÁTRICA,SIG,10,DISTÚRBIOS DE DIFERENCIAÇÃO SEXUAL: CONTROVÉRSIAS E RESULTADOS / CIRURGIA DE FEMINILIZAÇÃO EM TRANSEXUAIS: PARALELO COM HAC,105
28/4/2015,SESSÃO PEDIATRIA,REUNIÃO DRª SUZY,37,CADERNETA DA CRIANÇA,240
28/4/2015,SIG SENTINELAS EM AÇÃO,SIG,3,PREVENÇÃO DE LESÕES DE PELE / SEGURANÇA DA TERAPIA MEDICAMENTOSA,60
29/4/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,6,DISCUSSÃO DE CASOS CLÍNICOS,120
29/4/2015,SIG GESTÃO DE HU-S,SIG,4,GESTÃO DE HU-S SEGUNDO A PRESIDENTE DA ABRAHUE,60
30/4/2015,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,13,COMO FORMAR PARCERIAS ENTRE ALUNOS- PAIS- PROFESSORES E PROFISSIONAIS DE SAÚDE PARA O ENFRENTAMENTO DO BULLYING,60
