DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/8/2017,SIG AVC,SIG,6,APLICAÇÕES ATUAIS DO DOOPLER TRANSCRANIANO NA DOENÇA CEREBROVASCULAR,60
1/8/2017,SIG SIMULAÇÃO EM SAÚDE,SIG,3,DEBRIEFING,60
2/8/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,1,INTERNATIONAL HIVER FOUDATION,100
2/8/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,ANEURISMA DE AORTA TORACO ABDOMINAL,120
2/8/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,30,ELASTOGRAFIA POR RESSONÂNCIA,60
7/8/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,90
7/8/2017,REUNIÃO HEPATOLOGIA,REUNIÃO HEPATOLOGIA,1,CLÍNICA ECHO,120
8/8/2017,SIG SENTINELAS EM AÇÃO,SIG,2,ALTA QUALIFICADA,60
9/8/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,15,ANEURISMA DE AORTA TORACO ABDOMINAL,120
9/8/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,35,RESSONÂNCIA MAGNÉTICA QUANTITATIVA PARA AVALIAÇÃO DE DEPÓSITO DE GORDURA E FERRO NO FÍGADO,70
9/8/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,GRUPO DE TRABALHO SST,120
10/8/2017,SIG RCP,SIG,6,TRATAMENTO CLÍNICO OTIMIZADO PARA DAC ESTÁVEL: O QUE É E QUAIS AS EVIDÊNCIAS,60
11/8/2017,SIG TÉCNICO OPERACIONAL,SIG,1,HOMOLOGAÇÃO: SOBRE A HOMOLOGAÇÃO- PROCEDIMENTOS E EVOLUÇÃO,120
11/8/2017,SIG TERAPIA OCUPACIONAL,SIG,13,EXPERIÊNCIA DE PRESCRIÇÃO E ADAPTAÇÃO DA CADEIRA DE RODAS NO CONTEXTO HOSPITALAR: DESAFIOS,90
14/8/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,60
14/8/2017,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,11,HIPERTIREOIDISMO NEONATAL: RELATO DE CASO E DISCUSSÃO,60
15/8/2017,SIG SENTINELAS EM AÇÃO,SIG,6,APLICAÇÃO DO FMEA - PROCESSO DE MEDICAÇÃO EM UNIDADES DE INTERNAÇÃO,60
16/8/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,DISCUSSÃO DE CASOS OPERADOS,100
16/8/2017,REUNIÃO ADMINISTRATIVA,REUNIÃO SRAS,2,REUNIÃO ADMINISTRATIVA,13
16/8/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,22,"BOCA AMARGA - ""SINTOMA OU EPIFENÔMO""",50
