DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/12/2017,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,1,ANALISE DO DESEMPENHO DAS EQUIPES DE RESIDÊNCIA MULTIPROFISSIONAL EM SAÚDE DA FAMÍLIA E COMUNIDADE DA ATENÇÃO PRIMARIA A SAÚDE SEGUNDO OS INDICADORES PMAQ - AB ,160
4/12/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,77
5/12/2017,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,1,ADOLESCER COM CÂNCER: PERCEPÇÕES E PERSPECTIVAS DE PACIENTES QUE VIVENCIARAM TRATAMENTO ONCOLOGICO NA ADOLESCÊNCIA,180
5/12/2017,SIG AVC,SIG,6,HIGH LIGHTS 2017 E PROGRAMAÇÃO 2018,60
5/12/2017,SIG SENTINELAS EM AÇÃO,SIG,1,AÇÕES NACIONAIS PARA A SEGURANÇA DO PACIENTE EM SERVIÇOS DE SAÚDE,60
6/12/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,ARTERIOPATIAS VASOMOTORAS / ARTIGO,120
6/12/2017,SESSÃO CLÍNICA DE PNEUMO-RADIOLOGIA,SESSÃO,12,DISCUSSÃO DE CASOS CLÍNICOS,100
6/12/2017,REUNIÃO TELESSAÚDE,WEBCONFERÊNCIA,1,REUNIÃO COM A PROFESSORA DENISE,50
11/12/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,78
11/12/2017,SIG DE ENDOCRINOLOGIA PEDIÁTRICA,SIG,9,CONSEQUÊNCIAS ENDOCRINOMETABÓLICAS NO PIG,60
11/12/2017,REUNIÃO TELESSAÚDE,REUNIÃO DRª SUZY,6,PROJETO TELESSAÚDE - HUPES,100
12/12/2017,SIG SENTINELAS EM AÇÃO,SIG,1,AVALIAÇÃO DA REDE SENTINELA - PERFIL E MONITORAMENTO,35
12/12/2017,PALESTRA TELESSAÚDE,WEBCONFERÊNCIA,3,PROJETO PILOTO AMBAC,90
13/12/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,9,MALFORMAÇÕES VASCULARES,90
13/12/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - UROLOGIA,GRAVAÇÃO VÍDEOAULA,1,HIPERPLASIA PROSTÁTICA,60
14/12/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - UROLOGIA,GRAVAÇÃO VÍDEOAULA,1,LITÍASE,85
15/12/2017,AULA ENFERMAGEM,VIDEOCONFERÊNCIA,41,ENFERMAGEM E A EPISTEMOLOGIA DO CUIDADO,160
18/12/2017,QUALIFICAÇÃO DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,4,VALIDAÇÃO EMPÍRICA DE UMA ESCALA DE CONFORTO PARA PESSOAS COM INFARTO DO MIOCÁRDIO,150
18/12/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,3,DISCUSSÃO DE CASOS CLÍNICOS,90
20/12/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,LINFIDEMA,95
27/12/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,REUNIÃO DA EBSERH,70
