DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
6/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,REUNIÃO DE PLANEJAMENTO DE GRUPOS,120
6/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,4,UTILIZAÇÃO DE ATAS DE REGISTRO DE PREÇOS E MECANISMO DE CONTROLE DE MATERIAIS,120
13/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,AUDITORIA DE FOLHA DE PAGAMENTO,120
14/1/2015,VIDEOCONFERÊNCIA CETAD,VIDEOCONFERÊNCIA,1,CONSIDERAÇÕES SOCIOCLÍNICAS E ÉTICAS SOBRE SUBSTÂNCIAS PSICOATIVAS E SEUS CONSUMIDORES,120
16/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,ALINHAMENTO DE PROCESSOS,120
21/1/2015,VIDEOCONFERÊNCIA CETAD,VIDEOCONFERÊNCIA,1,PONTO DE CIDADANIA: TECNOLOGIAS UTILIZADAS PARA O ENCONTRO,120
23/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,6,REVISÃO DE ORGONOGRAMA HUPES,120
28/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,ENCONTRO DOS OUVIDORES DOS HOSPITAIS UNIVERSITÁRIOS,120
28/1/2015,VIDEOCONFERÊNCIA CETAD,VIDEOCONFERÊNCIA,2,AS CLÍNICAS DA DEPENDÊNCIA QUÍMICA,120
30/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,4,COMISSÃO DE RELAÇÃO DE TRABALHO E GTS,120
