DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
4/5/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,3,DISCUSSÃO DE CASOS CLÍNICOS,60
5/5/2015,SIG AVC,SIG,5,TELEMEDICINA PARA O AVC,85
5/5/2015,SIG SENTINELAS EM AÇÃO,SIG,3,PREVENÇÃO DO TROMBOEMBOLISMO VENOSO NO HCPR / SEGURANÇA NO USO DE HEMOTERÁPICOS NO HCPR,60
6/5/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,22,MANIFESTAÇÕES CUTÂNEAS / VASTICULITE / DEPRESSÃO E ALTERAÇÕES COGNITIVAS,120
7/5/2015,SIG ELSA,SIG,2,ATUALIZAÇÃO CIENTÍFICA,90
8/5/2015,SIG TÉCNICO OPERACIONAL,SIG,2,REVISÃO DO PROCESSO DE HOMOLOGAÇÃO RUTE,190
8/5/2015,SIG CUIDADOS FARMACÊUTICOS,SIG,2,ACOMPANHAMENTO DE PACIENTES EM TRATAMENTO PARA A HANSENÍASE,90
11/5/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,3,DISCUSSÃO DE CASOS OPERADOS,60
11/5/2015,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,9,VARIABILIDADE FENOTÍPICA DO SF1,60
12/5/2015,SIG SENTINELAS EM AÇÃO,SIG,3,CIRURGIA SEGURA NO HCPR / SEGURANÇA DA TERAPIA NUTRICIONAL NO HCPR,60
14/5/2015,SIG RCP,SIG,7,PRESPECTIVAS DE MUDANÇAS NO ACLS,60
14/5/2015,SIG COLABORATIVO EM EDUCAÇÃO MÉDICA,SIG,3,INTERAÇÃO RESIDÊNCIA E INTERNATO / ESTÁGIO,60
15/5/2015,SIG TELECOLOPROCTOLOGIA,SIG,4,DISCUSSÃO DE CASOS CLÍNICOS,60
15/5/2015,SIG TELEPSIQUIATRIA,SIG,7,PERFIL DO TRAUMA NA INFÂNCIA EM UMA AMOSTRA CLÍNICA: TRANSTORNO DE PERSONALIDADE BORDERLINE E TRANSTORNO DO HUMOR SÃO DIFERENTES?,120
18/5/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,2,DISCUSSÃO DE CASOS OPERADOS,60
19/5/2015,SIG SENTINELAS EM AÇÃO,SIG,1,PROTOCOLO DE CONDUTAS HEMORATÁPICAS: PREMISSA PARA HEMOVIGILÂNCIA,60
21/5/2015,CURSO SBE,VIDEOCONFERÊNCIA,1,AULA 09 - TESTES DIAGNÓSTICOS: AVALIAÇÃO CRÍTICA,120
21/5/2015,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,7,ATENÇÃO HUMANIZADA AO RECÉM-NASCIDO DE BAIXO PESO: MÉTODO CANGURU,60
21/5/2015,REUINÃO INTERNATO,REUNIÃO DRª SUZY,29,REUNIÃO INTERNATO,120
21/5/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,REUNIÃO ADMINISTRATIVA,115
25/5/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,2,DISCUSSÃO DE CASOS OPERADOS,60
26/5/2015,SIG SENTINELAS EM AÇÃO,SIG,8,O GERENCIAMENTO DE RISCO APLICADO A TODAS AS ESFERAS DO CUIDADO,60
26/5/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,16,DISCUSSÃO DE CASOS CLÍNICOS,120
27/5/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,20,REUNIÃO ADMINISTRATIVA,120
28/5/2015,CURSO SBE,VIDEOCONFERÊNCIA,1,AULA 10 - ENSAIOR CLÍNICOS: HISTÓRICO- IMPORTÂNCIA E MEGATRIALS,120
29/5/2015,CURSO DE CIRURGIA PLÁSTICA,VIDEOCONFERÊNCIA,18,MINI CURSO ABDOMINOPLASTIA,340
