DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/3/2016,SIG AVC,SIG,7,TRATAMENTO DA TVC COM NOVOS ANTICOAGULANTES ORAIS,60
1/3/2016,SIG SENTINELAS EM AÇÃO,SIG,4,GESTÃO DA QUALIDADE CONFORME REQUISITOS ISSO 9001:2008: ESTUDO DE CASO DE HOSPITAL FILANTRÓPICO,60
2/3/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,18,HIGH LIGHTS SOBRE O TRATAMENTO DA HEPATITE C- AASLD 2015,120
7/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS,60
8/3/2016,SIG SENTINELAS EM AÇÃO,SIG,2,MEDIDAS PREVENTIVAS DE PAV NO CTI DO HAG,60
8/3/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,CONTRATUALIZAÇÃO,72
9/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,OCLUSÃO ARTERIAL AGUDA,90
9/3/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,20,TRATAMENTO DA HEPATITE C- SEGUNDO O PCAT,120
9/3/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,DST/HIV,150
10/3/2016,SIG COLABORATIVO EM EDUCAÇÃO MÉDICA,SIG,1,EDUCAÇÃO PERMANENTE À DISTÂNCIA,60
14/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS,60
14/3/2016,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,11,DEFICIÊNCIA DE HORMÔNIO DE CRESCIMENTO: CRITÉRIOS- DIAGNÓSTICOS- E FASE DE TRANSIÇÃO,60
15/3/2016,SIG SENTINELAS EM AÇÃO,SIG,4,O SERVIÇO DE OUVIDORIA COMO FERRAMENTA DE SUPORTE ESTRATÉGICO À TOMADA DE DECISÕES NO CAMPO DA GESTÃO,60
16/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,10,DISCUSSÃO DE CASOS,60
16/3/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,21,TRATAMENTO DA HEPATITE C NO RENAL CRÔNICO,120
18/3/2016,SIG UROLOGIA PEDIÁTRICA,SIG,2,DISTÚRBIOS DE DIFERENCIAÇÃO SEXUAL: CONTROVÉRSIAS- COMO E QUANDO TRATAR,105
18/3/2016,SIG TELEPSIQUIATRIA,SIG,12,TRANSTORNO DE ESCORIAÇÃO,120
18/3/2016,EDUCAÇÃO EM SAÚDE,VIDEOCONFERÊNCIA,8,PROGRAMA DE APOIO AOS PROGRAMAS DE RESIDÊNCIA EM ÁREA PROFISSIOAL DE SAÚDE,120
21/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DOENÇA CRÔNICA AORTA-ILÍACA,60
22/3/2016,SIG SENTINELAS EM AÇÃO,SIG,2,ATUAÇÃO DO FARMACÊUTICO NA FARMÁCIA CLÍNICA,60
23/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,DOENÇA ARTERIAL OBSTRUTIVA,100
23/3/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,TRATAMENTO DA HEPATITE C NO RENAL CRÔNICO,90
28/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS,60
29/3/2016,SIG SENTINELAS EM AÇÃO,SIG,6,A FARMACOLOGIA NO NOVO TRATAMENTO DA HEPATITE C,60
30/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,FISIOPATOLOGIA E DIAGNÓSTICO,90
30/3/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,16,HEPATITE C: RESISTÊNCIA AOS DAAS COMO FERRAMENTA PARA TERAPÊUTICA DE RESGATE,95
