DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
14/11/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,2,DISCUSSÃO DE CASO,80
16/11/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,DISCUSSÃO DE CASO,90
16/11/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,11,HEPATITE ALCOÓLICA,90
21/11/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,APRESENTAÇÃO DE ARTIGO,60
21/11/2016,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,17,REUNIÃO PEDIATRIA,60
22/11/2016,SIG SENTINELAS EM AÇÃO,SIG,1,O USO DA TECNOLOGIA PARA SEGURANÇA DO PACIENTE,60
23/11/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,9,CASO CLÍNICO,90
23/11/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,14,ELASTOGRAFIA HEPÁTICA TRANSITÓRIA (FIBROSCAN) - FUNDAMENTOS E APLICABILIDADE,60
24/11/2016,SIG SAÚDE DA CRIANÇA E ADOLESCENTE,SIG,1,DESENVOLVIMENTO EMOCIONAL PRIMITIVO: PRAZER- DOR E PERDAS PERDIDAS,60
25/11/2016,SIG UROLOGIA PEDIÁTRICA,SIG,10,PATOLOGIAS OBSTRUTIVAS URETEAIS: MEGA URETER- URETOIDE- ECTOPIA,90
25/11/2016,SIG TELEPSIQUIATRIA,SIG,10,ESTRESSE E BURNOUT EM ESTUDANTES DE MEDICINA,120
28/11/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,3,DOR,60
29/11/2016,SIG SENTINELAS EM AÇÃO,SIG,1,SEGURANÇA DO PACIENTE: AÇÕES DO SERVIÇO DE FARMÁCIA,60
30/11/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,9,VASCULITES,120
30/11/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,ELASTOGRAFIA HEPÁTICA TRANSITÓRIA (FIBROSCAN) NA HEPATITE B,90
