DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/10/2015,CURSO SBE,SESSÃO,0,AULA 26: GUIDEINES ESTRUTURA MÍNIMA E AVALIAÇÃO AGREE,120
1/10/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,6,REPASSE DE RECURSOS DO FNS COM A EBSERH,180
5/10/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,INTERVENÇÕES VASCULARES,60
5/10/2015,SIG VACINAÇÃO,SIG,3,AULA INAUGURAL DO SIG VACINAÇÃO,60
6/10/2015,SIG AVC,SIG,6,FOP E AVC: TRATAMENTO ATUAL E PARA QUEM,60
6/10/2015,SIG SENTINELAS EM AÇÃO,SIG,6,PRÁTICAS SEGURAS NA PRESCRIÇÃO DE MEDICAMENTOS: EXPERIÊNCIAS E DESAFIOS NA HUAC,60
7/10/2015,VIDEOCONFERÊNCIA PRECEPTORIA,VIDEOCONFERÊNCIA,34,SEGURANÇA DO PACIENTE: ATUALIZAÇÃO / PANORAMA NACIONAL DA SEGURANÇA DO PACIENTE,110
7/10/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,ATUALIZAÇÃO E CASO CLÍNICO HEPATITE E,90
7/10/2015,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,15,REUNIÃO DO INTERNATO DE PEDIATRIA,80
8/10/2015,CURSO SBE,SESSÃO,0,AULA 27: ÉTICA - PROCEDIMENTOS NECESSÁRIOS PARA APROVAÇÃO DE PROJETO DE PESQUISA CLÍNICA,120
9/10/2015,VIDEOCONFERÊNCIA CURSO DE EXTENSÃO EM COLOPROCTOLOGIA,VIDEOCONFERÊNCIA,6,DISCUSSÃO DE CASOS CLÍNICOS,175
13/10/2015,VIDEOCONFERÊNCIA FARMÁCIA,VIDEOCONFERÊNCIA,1,ENCONTRO RESIDÊNCIA FARMACÊUTICA,120
13/10/2015,SIG SENTINELAS EM AÇÃO,SIG,2,IMPLANTAÇÃO DO NSP DO CENTRO INTEGRADO DE SAÚDE AMAURY  DE MEDEIROS / GESTÃO DE RISCO NA UNIDADE NEO-NATAL-ESTRATÉGIAS E DESAFIOS,60
14/10/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,10,TRAUMA VASCULAR CERVICAL,90
14/10/2015,VIDEOCONFERÊNCIA PRECEPTORIA,VIDEOCONFERÊNCIA,33,PROGRAMA DE APOIO AOS PROGRAMAS DE RESIDÊNCIAS - TRABALHO EM EQUIPE OU UM CONJUNTO DE PESSOAS TRABALHANDO?,120
14/10/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,11,UPDATE NO MANEJO DA HEPATITE ALCOÓLICA,90
15/10/2015,CURSO SBE,SESSÃO,0,AULA 28: AVALIAÇÃO DE TECNOLOGIAS EM SAÚDE - IMPORTÂNCIA E EXEMPLOS,120
16/10/2015,SIG TELECOLOPROCTOLOGIA,SIG,6,DISCUSSÃO DE CASOS,85
19/10/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,ÚLCERA RENAL PENETRANTE,60
20/10/2015,SESSÃO MINISTÉRIO DA SAÚDE,SESSÃO,1,2º ENCONTRO CIENTÍFICO DE PESQUISAS APLICADAS A VIGILÂNCIA EM SAÚDE,150
20/10/2015,SIG SENTINELAS EM AÇÃO,SIG,3,NUTRIVIGILÂNCIA DE FORMULAÇÕES ENTERAIS NO CONTEXTO DA SEGURANÇA DO PACIENTE HOSPITALIZADO,60
21/10/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,10,TRAUMA GRANDES VASOS TORÁCICOS,70
21/10/2015,VIDEOCONFERÊNCIA PRECEPTORIA,VIDEOCONFERÊNCIA,30,PROGRAMA DE APOIO AOS PROGRAMAS DE RESIDÊNCIAS - RECONHECIMENTO DE REDES DE ATENÇÃO À SAÚDE,120
21/10/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,21,HEMORRAGIA VARICOSA - RAVENO V,120
22/10/2015,CURSO SBE,SESSÃO,0,AULA 29: DIREITO A SAÚDE BASEADO EM EVIDÊNCIAS,120
23/10/2015,VIDEOCONFERÊNCIA CURSO DE EXTENSÃO EM CIRURGIA COLOPROCTOLOGIA,VIDEOCONFERÊNCIA,5,CASO CLÍNICO,70
26/10/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,CASO CLÍNICO: TRAMBOSE,80
27/10/2015,SIG SENTINELAS EM AÇÃO,SIG,2,PROJETO APLICATIVO: HIGIENIZAÇÃO DAS MÃOS COMO ESTRATÉGIA DE QUALIDADE PARA ASSISTÊNCIA,60
28/10/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,TRAUMA VASOS ABDOMINAIS,60
28/10/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,17,CIRROSE SEPTAL INCOMPLETA: UMA ENTIDADE CLÍNICA OU ACHADO HISTOPATOLÓGICO,90
28/10/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,APRESENTAÇÃO DO SISTEMA DE MONITORAMENTO DO PDE,90
29/10/2015,CURSO SBE,SESSÃO,0,AULA 30: ECONOMIA EM SAÚDE,120
29/10/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,GDC E NORMA DE PÓS GRADUAÇÃO,90
