DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/10/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,85
2/10/2018,SIG SIMULAÇÃO EM SAÚDE,SIG,1,REANIMAÇÃO NEONATAL,60
2/10/2018,SIG SENTINELAS EM AÇÃO,SIG,1,GERENCIAMENTO DO USO DE ANTIMICROBIANO EM SERVIÇOS DE SAÚDE,60
2/10/2018,SIG AVC,SIG,10,DISSECÇÃO ARTERIAL CRÂNIO CEREBRAL,60
3/10/2018,SESSÃO CLÍNICA DE DERMATOLOGIA,SESSÃO,10,MANEJO DA DERMATITE ATÓPICA,90
3/10/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,SÍNDROMES AÓRTICAS AGUDAS,95
3/10/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,GRUPO DE VISTORIA SST,120
4/10/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,ANEMIA FERROPRIVA,50
4/10/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,REGULAÇÃO ASSISTENCIAL,130
5/10/2018,SIG TERAPIA OCUPACIONAL,SIG,3,PROJETOS DE HUMANIZAÇÃO,80
5/10/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - INFECTOLOGIA,GRAVAÇÃO VÍDEOAULA,1,REDAÇÃO CIENTÍFICA,30
8/10/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,50
8/10/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,70
8/10/2018,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,7,TERAPIA DE REPOSIÇÃO COM IGF1 RECOMBINANTE NA SÍNDROME DE LARCON,60
9/10/2018,SIG DOENÇAS NEUROMUSCULARES,SIG,2,EXAMES GENÉTICOS EM DOENÇAS NEUROMUSCULARES,60
10/10/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,TRAUMA VASCULAR CEREBRAL / ARTIGO CIENTÍFICO,100
11/10/2018,SIG RCP,SIG,1,SÉPSIS,60
15/10/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,60
15/10/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,80
16/10/2018,SIG SENTINELAS EM AÇÃO,SIG,3,PONTOS DE VISTAS: OUTROS OLHARES,60
16/10/2018,SIG DEGLUTIÇÃO E DISFAGIA,SIG,1,PROTOCOLOS DE AVALIAÇÃO CLÍNICA DA DEGLUTIÇÃO EM CRIANÇAS COM PARALISIA CEREBRAL,60
16/10/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - GHU,GRAVAÇÃO VÍDEOAULA,1,COMUNICADO INSTITUCIONAL,30
17/10/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,TRAUMA DOS GRANDES VASOS TORÁCICOS / ARTIGO CIENTÍFICO,110
22/10/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,60
22/10/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,60
22/10/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,4,DESENVOLVIMENTO E VALIDAÇÃO DE INDICADORES DE QUALIDADE DE TRATAMENTO DA ARTRITE REUMATÓIDE NO BRASIL,120
23/10/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,8,CURSO GESTÃO DE RISCOS ISO 31000:2018,395
24/10/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,10,TRAUMA DOS GRANDES VASOS ABDOMINAIS / ARTIGO CIENTÍFICO,95
25/10/2018,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,14,TDAH - SOB A ÓTICA DO PEDIATRA DO DESENVOLVIMENTO E COMPORTAMENTO,75
26/10/2018,SIG TÉCNICO OPERACIONAL,SIG,3,INTEGRAÇÃO MCONF COM VIDEOCONFERÊNCIA,85
29/10/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,65
29/10/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,75
31/10/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,TRAUMA VASCULAR DE EXTREMIDADES / ARTIGO CIENTÍFICO,100
31/10/2018,SESSÃO CLÍNICA PNEUMO-RADIOLOGIA,SESSÃO,20,DISCUSSÃO DE CASOS CLÍNICOS,85
