DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/7/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,10,DISCUSSÃO DE CASOS,60
1/7/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,7,DISCUSSÃO DE CASOS,120
6/7/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS,60
7/7/2015,SIG AVC,SIG,5,TRATAMENTO ENDOVASCULAR DE TUC,60
7/7/2015,SIG SENTINELAS EM AÇÃO,SIG,4,A COMUNICAÇÃO NO CENTRO DO DEBATE - MAIS QUE RETÓRICA- UMA NECESSIDADE,60
7/7/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,21,GESTÃO HUS - SESSÃO CRESCER COM COMPETÊNCIA,120
8/7/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,DISCUSSÃO DE CASOS,60
8/7/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,14,DISCUSSÃO DE CASOS CLÍNICOS,120
8/7/2015,SIG UROLOGIA,SIG,2,ANÁLISE DE CASOS CLÍNICOS,60
9/7/2015,SIG RESSUSCITAÇÃO CARDIO PULMONAR,SIG,2,UTILIZAÇÃO DA ULTRASONOGRAFIA DURANTE A RESSUSCITAÇÃO CARDIO PULMONAR,60
13/7/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,9,DISCUSSÃO DE CASOS,60
13/7/2015,USO DA ESTAÇÃO,SESSÃO,2,USO DA ESTAÇÃO DE TELEMEDICINA,90
14/7/2015,SIG SENTINELAS EM AÇÃO,SIG,2,ESTUDOS DA UTILIZAÇÃO DE MEDICAMENTOS: EXEMPLOS E PERSPECTIVAS / MONITORAMENTO - ORGANIZAÇÃO DO PROCESSO DE TRABALHO NAS DIFERENTES DIMENSÕES DO MACROPROCESSO: TECNOVIGILANCIA,60
15/7/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,DISCUSSÃO DE CASOS,60
15/7/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,10,DISCUSSÃO DE CASOS,120
15/7/2015,SESSÃO COORDENADORES,WEBCONFERÊNCIA,1,SESSÃO COORDENADORES - TELEMEDICINA - COORDENADORES RUTE / COORDENADORES SIGS,120
17/7/2015,SIG TELECOLOPROCTOLOGIA,SIG,2,DISCUSSÃO DE CASOS CLÍNICOS,60
17/7/2015,SIG TELEPSIQUIATRIA,SIG,10,DISCUSSÃO DE CASOS CLÍNICOS,120
20/7/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,INFECÇÃO DE PRÓTESE AÓRTICA,85
20/7/2015,USO DA ESTAÇÃO,SESSÃO,2,UTILIZAÇÃO DA ESTAÇÃO DE TRABALHO - TELEMEDICINA - SALA PARA ESTUDO,90
21/7/2015,SIG SENTINELAS EM AÇÃO,SIG,2,AVALIAÇÃO NACIONAL DOS NÚCLEOS DE SEGURANÇA DO PACIENTE E DAS NOTIFICAÇÕES DOS EVENTOS ADVERSOS RELACIONADOS À ASSISTÊNCIA A SAÚDE,60
22/7/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,DISCUSSÃO DE CASOS,60
27/7/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS,100
28/7/2015,SIG SENTINELAS EM AÇÃO,SIG,7,SISTEMA NACIONAL DE BIOVIGILÂNCIA / NUTRIVIGILÂNCIA,60
29/7/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,DISCUSSÃO DE CASOS,80
29/7/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,8,RESULTADOS E INDICAÇÕES DA QUIMOEMBOLIZAÇÃO NO CARCINOMA HEPATOCELULAR,70
29/7/2015,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,13,REUNIÃO DO INTERNATO DE PEDIATRIA,180
30/7/2015,CURSO SBE,SESSÃO,0,AULA 17: ESTATÍSTICA II,120
30/7/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,4,GESTÃO DE HU - REUNIÃO EBSERH,216
31/7/2015,SIG UROLOGIA PEDIÁTRICA,SIG,5,INFECÇÃO URINÁRIA NA INFÂNCIA: DIAGNÓSTICO- INVESTIGAÇÃO E PROFILAXIA / ATUALIZAÇÃO EM QUIMIOTERÁPICOS- CRANBERRY E VACINAS,100
31/7/2015,VIDEOCONFERÊNCIA CURSO CIRURGIA-COLOPROCTOLOGIA,VIDEOCONFERÊNCIA,4,CASO CLÍNICO,290
