DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
2/6/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,TRATAMENTO DE AVC HEMORRÁGICO,60
2/6/2015,SIG SENTINELAS EM AÇÃO,SIG,9,DESAFIOS DA IMPLANTAÇÃO DO PLANO DE SEGURANÇA DO PACIENTE,60
3/6/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,DISCUSSÃO DE CASOS,120
8/6/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS,60
10/6/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,9,DISCUSSÃO DE CASOS,90
10/6/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,12,DISCUSSÃO DE CASOS,120
10/6/2015,SIG UROLOGIA,SIG,4,ANÁLISE DE CASOS CLÍNICOS,60
11/6/2015,CURSO SBE,SESSÃO,0,AULA 11- ENSAIOS CLÍNICOS: PROJETO DE ENSAIO CLÍNICO,120
12/6/2015,SIG TÉCNICO OPERACIONAL,SIG,2,GUIA PRÁTICO DO TÉCNICO OPERACIONAL RUTE,110
15/6/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS,60
15/6/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,24,GESTÃO DE HU-S – PLANO DE AÇÃO E INDEFINILÇÃO- E FALTA DE ADESÃO AOS PROCESSOS HOSPITALARES,180
16/6/2015,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,CICLO BÁSICO DE PEDIATRIA: AULA 11 - CICLO ANEMIAFIRSOPRIVA,60
16/6/2015,SIG SENTINELAS EM AÇÃO,SIG,7,A FARMÁCIA CLÍNICA E A NOTIFICAÇÃO DE INCIDENTES RELACIONAIS A PRESCRIÇÃO DE MEDICAMENTOS,60
17/6/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,9,DISCUSSÃO DE CASOS,60
17/6/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,7,DISCUSSÃO DE CASOS CLÍNICOS,120
18/6/2015,CURSO SBE,SESSÃO,1,AULA 12 - CONCEITOS DE RISCO- INTERVALO DE CONFIANÇA E PODER ESTATÍSTICO,120
19/6/2015,SIG TELECOLOPROCTOLOGIA,SIG,5,DISCUSSÃO DE CASOS,60
19/6/2015,SIG TELEPSIQUIATRIA,SIG,8,DISCUSSÃO DE CASOS CLÍNICOS,120
25/6/2015,CURSO SBE,SESSÃO,0,AULA 13 - AVALIAÇÃO CRÍTICA DE ENSAIOS CLÍNICOS,60
25/6/2015,SIG SAÚDE DA CRIANÇA E ADOLESCENTE,SIG,1,PEDIATRIA - PROJETOS EXITOSOS NA PRIMEIRA INFÂNCIA,60
26/6/2015,SIG UROLOGIA PEDIÁTRICA,SIG,10,EXTROFIA VESICAL: RECONSTRUÇÃO VERSUS DERIVAÇÃO E URETEROSSIGMOIDOSTOMIA / MARCADORES DE LESÃO RENAL EM HIDRONEFROSE,90
29/6/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,DISCUSSÃO DE CASOS,60
30/6/2015,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,CICLO BÁSICO DE PEDIATRIA: AULA 12 - SUPORTE NUTRICIONAL ENTERAL,60
30/6/2015,SIG SENTINELAS EM AÇÃO,SIG,1,HIGIENE DE MÃOS - QUAIS NOSSOS DESAFIOS?,60
