DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/8/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE ARTIGO,60
1/8/2016,SIG ODONTOLOGIA E DIAGNÓSTICO BUCAL,SIG,9,DISCUSSÃO DE CASOS CLÍNICOS,60
1/8/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,REUNIÃO DE APRESENTAÇÃO,90
2/8/2016,SIG AVC,SIG,8,SÍNDROME DE CALL FLEMING,60
2/8/2016,SIG SENTINELAS EM AÇÃO,SIG,4,AUTOAVALIAÇÃO DAS PRÁTICAS DE SEGURANÇA DO PACIENTE EM SERVIÇOS DE SAÚDE,60
2/8/2016,SIG SIMULAÇÃO EM SAÚDE,SIG,7,SIMULAÇÃO COMO METODOLOGIA EDUCACIONAL,60
2/8/2016,AULA DE MESTRADO,WEBCONFERÊNCIA,6,AULA DE MESTRADO EM ASSISTÊNCIA FARMACÊUTICA,200
3/8/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,DISCUSSÃO DE CASOS CLÍNICOS,90
3/8/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,7,CASOS CLÍNICOS DE HEPATITE B e C QUE NÃO ESTÃO NOS GUIDELINS E PROTOCOLO,120
8/8/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS,80
8/8/2016,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,4,408 CASOS DE AMBIGUIDADE GENITAIS ACOMPANHADAS POR UMA ÚNICA EQUIPE MULTIDISCIPLINAR POR 23 ANOS,60
10/8/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,15,ANEURISMAS PERIFÉRICOS,120
10/8/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,TRANSLAÇÃO BACTERIANA EM PACIENTES CIRRÓTICO,50
11/8/2016,SIG RESSUSCITAÇÃO CARDIOPULMONAR,SIG,1,CASO CLÍNICO,30
11/8/2016,SIG COLABORATIVO EM EDUCAÇÃO MÉDICA,SIG,1,ASPECTOS DA FORMAÇÃO COM AS NOVAS DIRETRIZES CURRICULARES DE 2014,60
12/8/2016,SIG TÉCNICO OPERACIONAL,SIG,1,APRESENTAÇÃO DOS RESULTADOS DA AVALIAÇÃO OPERACIONAL DAS SESSÕES DOS SIGS DO MÊS DE JULHO,130
12/8/2016,SIG TERAPIA OCUPACIONAL,SIG,5,TERAPIA OCUPACIONAL EM UM HOSPITALCARDIOLÓGICO,90
15/8/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE ARTIGO,120
16/8/2016,SIG SENTINELAS EM AÇÃO,SIG,6,A VIGILÂNCIA DE SANEANTES E A COSMETOVIGILÂNCIA,60
17/8/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,ANEURISMAS VISCERAIS,90
17/8/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,ASPECTOS UROLÓGICOS DO VHE,90
18/8/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,8,CONHECENDO MELHORO VIGIHOSP,130
19/8/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,REUNIÃO EBSERH,60
22/8/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE ARTIGO,90
22/8/2016,TELESSAÚDE BAHIA,VIDEOCONFERÊNCIA,1,TELESSAÚDE BAHIA - SITUAÇÃO FESFSUS,110
23/8/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,6,INDICADOR SOBRE PROPORÇÃO DE PACIENTES COM PULSEIRAS DE IDENTIFICAÇÃO,100
24/8/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,TEMAS E MÉTODOS TCC,100
24/8/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,11,HEPATOTOXICIDADE,90
25/8/2016,SIG SAÚDE DA CRIANÇA E ADOLESCENTE,SIG,13,CIBERBULLYING E OUTROS RISCOS NA ERA DIGITAL,60
26/8/2016,SIG UROLOGIA PEDIÁTRICA,SIG,7,CIRURGIAS E OUTROS PROCEDIMENTOS EM BEXIGAS NEUROGÊNICA: AMPLIAÇÃO- CONDUTAS- BOTOX E ELETROESTIMULAÇÃO: QUANDO E PARA QUEM,110
29/8/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS,60
30/8/2016,SIG SENTINELAS EM AÇÃO,SIG,5,A NOVA FICHA NOTIVISA PARA NOTIFICAÇÃO EM HEMOVIGILÂNCIA,60
31/8/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,SESSÃO DIDÁTICO CIENTÍFICA - CASO CLÍNICO,90
31/8/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,14,VIROLOGIA DO HBV: NOVAS PERSPECTIVAS CORRELAÇÕES CLÍNICAS,90
