DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
3/12/2016,CURSO DE CIRURGIA - OTORRINO,VIDEOCONFERÊNCIA,12,CIRURGIA ENDOSCÓPICA - CASOS CLÍNICOS,300
6/12/2016,SIG AVC,SIG,3,HIGH LIGHTS DE 2016 E PERSPECTIVA 2017,60
6/12/2016,SIG SENTINELAS EM AÇÃO,SIG,4,TREINAMENTO EM GESTÃO DE RISCO PELO AVA,60
6/12/2016,SIG SIMULAÇÃO EM SAÚDE,SIG,4,AVALIAÇÃO DO SIG PELOS PACIENTES- DISCUSSÃO- DEFINIÇÃO DA AGENDA 2017,60
7/12/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,COLAGENOSES,90
7/12/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,19,MANIFESTAÇÕES EXTRA - HEPATICAS DA HEPATITE C GUIDELINE LATINO AMERICANO,60
12/12/2016,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,8,SÍNDROME METABÓLICA EM ADOLESCENTES DA REGIÃO METROPOLITANA DA GRANDE VITÓRIA,60
12/12/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,2,CASOS CLÍNICOS,90
13/12/2016,SIG SENTINELAS EM AÇÃO,SIG,2,CONTROLE DE INFECÇÃO EM SERVIÇOS DE DIAGNÓSTICOS E TERAPEUTICA POR IMAGEM,60
14/12/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,ARTERIOPATIAS VASOMOTORAS,120
19/12/2016,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA DE MESTRADO,15,ANÁLISE DO PERFIL DE SEGURANÇA DO TRATAMENTO PARA HANSENÍASE EM HOSPITAL UNIVERSITÁRIO DE SALVADOR BAHIA 2009 - 2015,240
21/12/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,HEMANGIOMAS E MALFORMAÇÕES VASCULARES,105
