DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/2/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS,60
2/2/2016,SIG AVC,SIG,3,TRATAMENTO DE VASCULITES NO AVC,60
12/2/2016,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,18,REUNIÃO PEDIATRIA,90
17/2/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,18,REUNIÃO CIRURGIA VASCULAR,30
19/2/2016,SIG TELEPSIQUIATRIA,SIG,11,VIOLÊNCIA E MAUS TRATOS CONTRA O IDOSO,120
22/2/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS,60
23/2/2016,SIG SENTINELAS EM AÇÃO,SIG,3,O ENFERMEIRO COMO EDUCADOR NA REABILITAÇÃO CARDÍACA,60
24/2/2016,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA DE MESTRADO,4,USO DO PLASMA RICO EM PLAQUETAS CPRPI EM ÚLCERAS VENOSAS: ENSAIO CLÍNICO RANDOMIZADO,120
25/2/2016,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA DE MESTRADO,1,ANÁLISE DE FATORES DE ESTRESSE- SINTOMAS DEPRESSIVOS E QUALIDADE DO SONO EM GRADUANDO EM ENFERMAGEM DO PRIMEIRO AO QUARTO ANO,160
26/2/2016,SIG UROLOGIA PEDIÁTRICA,SIG,3,ATUALIZAÇÃO EM UROLOGIA FETAL E NEONATAL: MMC E VUP,90
29/2/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,3,DISCUSSÃO DE CASOS,80
