DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
2/5/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,60
3/5/2016,SIG AVC,SIG,5,EPIDEMIOLOGIAS E CASUÍSTICA DO AVC NA CIDADE DE FORTALEZA,60
4/5/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,DISCUSSÃO DE CASOS OPERADOS,90
4/5/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,HEPATOTOXIDADE GRAVE NO BRAISL,60
5/5/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,4,DIRETRIZES PARA FARMÁCIA HOSPITALAR,60
6/5/2016,EDUCAÇÃO EM SAÚDE,VIDEOCONFERÊNCIA,6,PROGRAMA DE APOIO AOS PROGRAMAS DE RESIDÊNCIA EM ÁREA PROFISSIOAL DE SAÚDE,90
7/5/2016,CURSO DE CIRURGIA ENDONASAL,VIDEOCONFERÊNCIA,23,CASO CLÍNICO,300
9/5/2016,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,7,TELEPEDIATRIA: SISTEMA 100% ONLINE PARA PRONTUÁRIOS E ATENDIMENTO CLÍNICO DE PACIENTES PEDIÁTRICOS,60
9/5/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,60
10/5/2016,SIG SENTINELAS EM AÇÃO,SIG,7,ERRO DE MEDICAÇÃO: AVANÇOS - PERSPECTIVAS NA CAPTAÇÃO E ANÁLISE DE INFORMAÇÕES,60
10/5/2016,AULA DE MESTRADO,WEBCONFERÊNCIA,6,MESTRADO EM ASSISTÊNCIA FARMACÊUTICA,170
11/5/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,15,PROFILAXIA E TRATAMENTO DE TVP,60
11/5/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,13,ORIENTAÇÕES DIETÉTICAS EM PORTADORES DE DOENÇA DO FÍGADO,90
12/5/2016,SIG COLABORATIVO EM EDUCAÇÃO MÉDICA,SIG,1,ENSINO DE URGÊNCIA NAS NOVAS DIRETRIZES E LEI MAIS MÉDICOS,60
13/5/2016,SIG TÉCNICO OPERACIONAL,SIG,2,TELEMEDICINA MÓVEL: APLICATIVO MOBILE PARA DIVULGAÇÃO DE INFORMAÇÕES SOBRE DOENÇAS RARAS,90
13/5/2016,EDUCAÇÃO EM SAÚDE,VIDEOCONFERÊNCIA,3,PROGRAMA DE APOIO AOS PROGRAMAS DE RESIDÊNCIA EM ÁREA PROFISSIOAL DE SAÚDE,90
16/5/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,60
17/5/2016,SIG SENTINELAS EM AÇÃO,SIG,3,AULA 13 - DESAFIOS DA TERAPIA NUTRICIONAL NO DOENTE GRAVE,60
18/5/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,13,DISCUSSÃO DE CASOS OPERADOS,90
18/5/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,17,MANEJO NA INVESTIGAÇÃO EM PACIENTES COM HIPERFERRITINEMIA,90
18/5/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,6,PLANO DE PROGRESSÃO,125
20/5/2016,SIG UROLOGIA PEDIÁTRICA,SIG,2,EXTROFIA VESICAL E ESPISPÁDIA: O QUE ESTÁ CONSOLIDADO E O QUE ESTÁ EM DEFINIÇÃO,90
20/5/2016,SIG TELEPSIQUIATRIA,SIG,20,DISCUSSÃO DE CASOS CLÍNICOS,110
20/5/2016,EDUCAÇÃO EM SAÚDE,VIDEOCONFERÊNCIA,3,PROGRAMA DE APOIO AOS PROGRAMAS DE RESIDÊNCIA EM ÁREA PROFISSIOAL DE SAÚDE,90
23/5/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,120
24/5/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,21,ANÁLISE DE CAUSA RAIS,450
24/5/2016,SIG SENTINELAS EM AÇÃO,SIG,4,AULA 14 - RESULTADO DA EXCELÊNCIA DO MANEJO DA UP: INTERVENÇÃO,60
24/5/2016,AULA DE MESTRADO,WEBCONFERÊNCIA,10,MESTRADO EM ASSISTÊNCIA FARMACÊUTICA,120
24/5/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,DISCUSSÃO DE CASOS OPERADOS,90
25/5/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,5,MANEJO DO DISTÚRBIO DO SONO E ANSIEDADE NO HEPATOPATA CRÔNICO,110
