DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
2/3/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - RESIDÊNCIA,GRAVAÇÃO VÍDEOAULA,1,SETOR DE REGULAÇÃO E AVALIAÇÃO EM SAÚDE,60
2/3/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - RESIDÊNCIA,GRAVAÇÃO VÍDEOAULA,1,NÚCLEO UNIVERSITÁRIO DE TELESSAÚDE,20
2/3/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - RESIDÊNCIA,GRAVAÇÃO VÍDEOAULA,1,APRESENTAÇÃO DO HUPES,120
6/3/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,3,DISCUSSÃO DE ARTIGO,60
7/3/2017,SIG AVC,SIG,7,COMPLICAÇÕES CEREBROVASCULARES EM PACIENTES EM USO DE PRÓTESES VALVARES,60
7/3/2017,SIG SENTINELAS EM AÇÃO,SIG,2,ATUAÇÃO DA COMISSÃO DE AVALIAÇÃO E PREVENÇÃO DE LESÕES DE PELO NO CENTRO CIRÚRGICO,60
7/3/2017,SIG SIMULAÇÃO EM SAÚDE,SIG,5,SIMULAÇÃO EM HIGIENE DAS MÃOS,60
8/3/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,14,DILI- ATUALIZAÇÃO DO ESTUDO HEPATOXI,50
9/3/2017,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,15,CONSUMO DE ÁLCOOL ENTRE ADOLESCENTES ESCOLARES QUILOMBOLAS E FATORES ASSOCIADOS,110
9/3/2017,SIG RCP,SIG,1,VIA AÉREA DIFÍCIL,60
13/3/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,60
14/3/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,DOENÇA CELÍACA,30
14/3/2017,SIG SENTINELAS EM AÇÃO,SIG,7,PROCESSO DE IMPLANTAÇÃO DO PROJETO DE DUPLA CHECAGEM DE MEDICAMENTOS POTENCIALMENTE PERIGOSOS - MPP,60
15/3/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,15,OCLUSÃO ARTERIAL AGUDA,90
15/3/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,25,CRITÉRIOS E DIAGNÓSTICOS DE DILI,90
17/3/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,21,TREINAMENTO NO MÓDULO DE MONITORAMENTO DO PPP,48
17/3/2017,QUALIFICAÇÃO DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,3,EXAME DE QUALIFICAÇÃO,60
20/3/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,60
20/3/2017,QUALIFICAÇÃO DE TESE DE DOUTORADO,BANCA DOUTORADO,1,PROCESSO DE FORMAÇÃO DO ENFERMEIRO E O SEU AGIR PROFISSIONAL,240
21/3/2017,SIG SENTINELAS EM AÇÃO,SIG,1,LESÃO POR PRESSÃO: ESTRATÉGIAS PARA MONITORAMENTO- NOTIFICAÇÃO- PROVISÃO DE MATERIAL ADEQUADO E ECONOMIA REAL,60
22/3/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,15,DAOP INFRA INGNAL,120
22/3/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,22,ABORDAGEM DIAGNÓSTICA PRÁTICA DAS COLESTASES GENÉTICAS,90
27/3/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,60
28/3/2017,XVIII REBRAENSP,VIDEOCONFERÊNCIA,3,APRESENTAÇÃO E DISCUSSÃO,165
28/3/2017,XVIII REBRAENSP,VIDEOCONFERÊNCIA,2,APRESENTAÇÃO E DISCUSSÃO,120
29/3/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,15,DOENÇA CRÔNICA AORTO ILÍACA,90
29/3/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,19,TRANSPLANTE EM DOENÇAS COLESTÁTICAS,90
30/3/2017,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,1,LESÃO HIPOTICA INDUZIDA POR MEDICAMENTOS: REVISÃO DE ESTUDOS BRASILEIROS E ESTRATÉGIA DE BUSCA E IDENTIFICAÇÃO,210
30/3/2017,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,2,PERCEPÇÃO DE ENFERMEIROS DO SEGREDO PROFISSIONAL NO USO DO FACEBOOK,180
