DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/8/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,ANEURISMA DE AORTA TORÁCICA  TÓRACO ABDOMINAL / ARTIGO CIENTÍFICO,90
1/8/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,GRUPO DE VISTORIA SST,90
2/8/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - MEDICINA LEGAL,GRAVAÇÃO VÍDEOAULA,1,HUMANIZAÇÃO ACOLHIMEMTNO,30
2/8/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - MEDICINA LEGAL,GRAVAÇÃO VÍDEOAULA,1,DECLARAÇÃO DE ÓBITO EM  CASO DE MORTE FETAL / NEONATAL,40
2/8/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - MEDICINA LEGAL,GRAVAÇÃO VÍDEOAULA,1,PROCESSAMENTO DE MORTES NATURAIS SEM ABERTURA DE CORPO,40
6/8/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,60
6/8/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,80
7/8/2018,SIG AVC,SIG,7,PREVENÇÃO PRIMÁRIA DO AVC,60
7/8/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - MEDICINA LEGAL,GRAVAÇÃO VÍDEOAULA,1,HISTOPATOLOGIA ÓRGÃOS LINFÓIDE,90
8/8/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,ANEURISMA DE AORTA TORACOABDOMINAL: TRATAMENTO / ARTIGO CIENTÍFICO,105
8/8/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,11,QUALIDADE DA TERAPIA COM MEDICAMENTOS BIOLÓGICOS E BIOSSIMILARES,110
9/8/2018,VIDEOCONFERÊNCIA MINISTÉRIO DA SAÚDE,VIDEOCONFERÊNCIA,1,COMISSÃO ASSESSORA HEPATITES VIRAIS,210
10/8/2018,SIG TERAPIA OCUPACIONAL,SIG,5,TERAPIA OCUPACIONAL NA INFLUÊNCIA CARDÍACA,90
10/8/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,12,NÍVEL DE ESTRESSE DE UNIVERSITÁRIOS DE ENFERMAGEM ASSOCIADO À FASE DE FORMAÇÃO E A FATORES SOCIODEMOGRÁFICOS,180
13/8/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,60
13/8/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,65
13/8/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,TROCA DE EXPERIÊNCIA RAR,75
13/8/2018,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,7,AVALIAÇÃO DE NÓDULOS TIREOIDEANOS EM CRIANÇAS E ADOLESCENTES,60
13/8/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,1,FACEBOOK: UMA REDE PARA ENFERMAGEM,180
14/8/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - MEDICINA LEGAL,GRAVAÇÃO VÍDEOAULA,1,CÉLULAS APRESENTADORAS,97
