DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
3/12/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,3,DISCUSSÃO DE CASOS OPERADOS,70
3/12/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,3,DISCUSSÃO DE CASOS OPERADOS,60
3/12/2018,WEBCONFERÊNCIA EBSERH,WEBCONFERÊNCIA,1,REUNIÃO SOBRE AS UNIDADES DE E-SAÚDE DA REDE EBSERH,110
4/12/2018,SIG AVC,SIG,7,HIGH LIGHTS 2018 E PROGRAMAÇÃO PARA 2019,50
4/12/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,24,FATORES QUE INFLUENCIAM A NOTIFICAÇÃO DE ERROS DE MEDICAÇÃO E QUASE FALHAS EM UM HOSPITAL UNIVERSITÁRIO,170
5/12/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,9,ARTERIOPATIAS VASOMOTORAS / ARTIGO CIENTÍFICO,75
5/12/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA ,GRAVAÇÃO VÍDEOAULA,1,ABORDAGEM DO ADOLESCENTE,38
5/12/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - MEDICINA LEGAL,GRAVAÇÃO VÍDEOAULA,1,RESPOSTA IMUNE INATA,35
5/12/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,7,OBESIDADE E SOBREPESO: ADAPTAÇÃO E AVALIAÇÃO PSICOMÉTRICA DA ESCALA ESTÁGIOS DE MOTIVAÇÃO PARA MUDANÇA NA PREPARAÇÃO E NO TRATAMENTO (SOCRATES - 00),120
6/12/2018,DEFESA DE TESE DE DOUTORADO,BANCA DOUTORADO,15,ESTUDO COMPARATIVO DE PARÂMETROS CLÍNICOS E IMUNOLÓGICOS DE PACIENTES COM HEPATITE D GENOTIPOS 1 E 3,240
7/12/2018,SIG TÉCNICO OPERACIONAL,SIG,3,FECHAMENTO 2018 E DEFINICÃO DE AGENDA,48
7/12/2018,SIG TERAPIA OCUPACIONAL,SIG,3,05 ANOS DE VIDEOCONFERÊNCIA SIG TERAPIA OCUPACIONAL EM CONTEXTOS HOSPITALARES E CUIDADOS PALIATIVOS,90
10/12/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,60
10/12/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,60
10/12/2018,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,10,SÍNDROME DE CUSHING  CAUSADA POR PPNAD,80
11/12/2018,SIG DOENÇAS NEUROMUSCULARES,SIG,1,ATUALIZAÇÃO EM MIOPATIAS INFLAMATÓRIAS,60
11/12/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,GRUPO DE VISTORIA SST,80
12/12/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,HEMANGIOMAS E MAL FORMAÇÕES VASCULARES,85
12/12/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,11,HIVFIRD: SOFTWARE DE DETECÇÃO DE MUTAÇÕES ASSOCIADAS A RESISTÊNCIA TERAPÊUTICA DOS INIBIDORES DE FUSÃO EM SEQUÊNCIAS DO HIV-I,120
14/12/2018,QUALIFICAÇÃO DE TESE DE DOUTORADO,BANCA DOUTORADO,8,REDE DE APOIO PARA CUIDADORES DE IDOSOS DEPENDENTES: DIAGNÓSTICO E INTERVENÇÃO,180
14/12/2018,WEBCONFERÊNCIA EBSERH,WEBCONFERÊNCIA,17,FORMAÇÃO PEDAGÓGICA EM TUTORIA PARA EDUCAÇÃO EM SAÚDE - ÊNFASE EM PRECEPTORIA,100
14/12/2018,DEFESA DE TCC,BANCA TCC,210,04 DEFESAS DE TCC,210
17/12/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,3,DISCUSSÃO DE CASOS OPERADOS,70
17/12/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,3,DISCUSSÃO DE CASOS OPERADOS,72
17/12/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,7,ISOLAMENTO- CARACTERIAÇÃO E POTENCIAL BIOTECNOLÓGICO DE LECTINAS DE MICRO-ALGAS,200
19/12/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,INSUFICIÊNCIA LINFÁTICA (LINFEDEMA) / ARTIGO CIENTÍFICO,120
19/12/2018,QUALIFICAÇÃO DE TESE DE DOUTORADO,BANCA DOUTORADO,6,ESTRATÉGIAS DE RESISTÊNCIA DE ENFERMEIRAS A PARTIR DAS LIMITAÇÕES DA SUA ATUAÇÃO PROFISSIONAL: DISCURSO E HISTÓRIA,180
19/12/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,REUNIÃO NORMA ZERO EBSERH,90
20/12/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,11,RECONSTRUÇÃO FILODINÂMICA DA INTRODUÇÃO DO SUBTIPO C DO HIV-I NO BRASIL E SUA DISPERSÃO PARA REGIÃO NORDESTE DO PAÍS,120
