DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/2/2018,PROJETO TELESSAÚDE - AMBAC,WEBCONFERÊNCIA,1,TELECONSULTORIA,150
5/2/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,50
5/2/2018,TESTE DE CONEXÃO - BANCA,TESTE DE BANCA,1,TESTE DE CONEXÃO,30
6/2/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,PROFª LUIZA CABUS - O QUE A PEDIATRIA PRECISA SABER SOBRE A SÍNDROME DE DOWN,65
6/2/2018,SIG SIMULAÇÃO EM SAÚDE,SIG,3,SIMULAÇÃO CLÍNICA E TRABALHO INTER-PROFISSIONAL,75
15/2/2018,PROJETO TELESSAÚDE - AMBAC,WEBCONFERÊNCIA,1,TELECONSULTORIA,150
15/2/2018,TESTE DE CONEXÃO - BANCA,TESTE DE BANCA,1,TESTE DE CONEXÃO,30
16/2/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,9,MOBILIDADE TORÁCICA FORÇA MUSCULAR RESPIRATÓRIA E FUNÇÃO PULMONAR NA DOENÇA DE PARKINSON,180
19/2/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,115
19/2/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - RESIDENTE,GRAVAÇÃO VÍDEOAULA,1,DOAÇÃO DE SANGUE,20
19/2/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,QUARTA AGENDA DO PROJETO DE EXPANSÃO DO MODELO DE REGULAÇÃO ASSISTENCIAL,60
20/2/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,IMUNIZAÇÃO,95
20/2/2018,SIG SENTINELAS EM AÇÃO,SIG,4,SEGURANÇA DO PACIENTE NO GERENCIAMENTO E USO DE MEDICAMENTOS,60
20/2/2018,SIG DEGLUTIÇÃO E DISFAGIA,SIG,4,USO DE ELETROESTIMULAÇÃO NA REABILITAÇÃO DAS DISFAGIAS NEUROGÊNICAS DE ADULTOS E IDOSOS,60
21/2/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - RESIDENTE,GRAVAÇÃO VÍDEOAULA,1,APRESENTAÇÃO DA UNIDADE DE LABORATÓRIO DE ANÁLISES CLÍNICAS,64
22/2/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - UROLOGIA,GRAVAÇÃO VÍDEOAULA,1,PROFº LUCAS BATISTA - DISFUNÇÃO ERÉTIL / INFERTILIDADE,70
22/2/2018,PROJETO TELESSAÚDE - AMBAC,WEBCONFERÊNCIA,1,TELECONSULTORIA,150
22/2/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,23,INSERÇÃO PROFISSIONAL DE ENFERMEIRAS EGRESSAS DOS PROGRAMAS DE RESIDÊNCIAS MULTIPROFISSIONAIS EM SAÚDE MENTAL,150
23/2/2018,SIG TÉCNICO OPERACIONAL,SIG,1,TESTE EM SOLUÇÃO DE VÍDEOCONFERÊNCIA EM NUVEM,90
26/2/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,50
26/2/2018,REUNIÃO ADMINISTRATIVA,REUNIÃO SRAS,2,ATIVIDADE DO SRAS,60
26/2/2018,QUALIFICAÇÃO DE TESE DE DOUTORADO,BANCA DOUTORADO,17,PRODUÇÃO CIENTÍFICA EM PERIÓDICOS DE ENFERMAGEM: ANÁLISE EPISTEMOLÓGICA,155
27/2/2018,SIG SENTINELAS EM AÇÃO,SIG,8,EXPERIÊNCIA DA IMPLANTAÇÃO DO NÚCLEO DE SEGURANÇA DO PACIENTE NO HOSPITAL UNIVERSITÁRIO EDGARD SANTOS,60
