DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
3/1/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,ERIGIPELA,70
8/1/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,85
10/1/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,TRANSPLANTE RENAL,83
10/1/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - UROLOGIA ,GRAVAÇÃO VÍDEOAULA,1,PROFº JUAREZ ANDRADE - CÂNCER DE PRÓSTATA,90
11/1/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - UROLOGIA ,GRAVAÇÃO VÍDEOAULA,1,PROFº LUCAS BATISTA - TUMOR DE PÊNIS,70
11/1/2018,PROJETO TELESSAÚDE - AMBAC,WEBCONFERÊNCIA,1,TELECONSULTORIA,150
12/1/2018,REUNIÃO ADMINISTRATIVA,REUNIÃO SRAS,3,ATIVIDADE DO SRAS,100
12/1/2018,VIDEOCONFERÊNCIA COMITÊ TÉCNICO ASSESSOR,VIDEOCONFERÊNCIA EBSERH,1,PROFº RAYMUNDO PARANÁ - CONTROLE DAS HEPATITES VIRAIS,385
15/1/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,60
15/1/2018,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,27,REUNIÃO INTERNATO,60
17/1/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,SÍNDROME DO DESFILADEIRO CÉRVICO-TORÁCICO,86
19/1/2018,SIG TELECOLOPROCTOLOGIA,SIG,6,DISCUSSÃO DE CASOS CLÍNICOS,75
22/1/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,50
24/1/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,9,APRISIONAMENTO DA ARTÉRIA POPLÍTEA,100
25/1/2018,PROJETO TELESSAÚDE - AMBAC,WEBCONFERÊNCIA,1,TELECONSULTORIA,150
25/1/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - UROLOGIA ,GRAVAÇÃO VÍDEOAULA,1,PROFº LUCAS BATISTA - TUMOR DE TESTÍCULOS,40
26/1/2018,GRAVAÇÃO DE VÍDEOAULA EXTERNA - ENFERMAGEM,GRAVAÇÃO VÍDEOAULA,23,CAFÉ CIENTÍFICO ENFERMAGEM - MEDICAMENTOS DE ALTA VIGILÂNCIA,80
29/1/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,60
29/1/2018,REUNIÃO DO CINECLUBINHO,REUNIÃO DRª SUZY,4,REUNIÃO CINECLUBINHO,30
31/1/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,13,APRESENTAÇÃO DE TCC,160
