DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/3/2018,PROJETO TELESSAÚDE - AMBAC,WEBCONFERÊNCIA,1,TELECONSULTORIA,180
2/3/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,SEGURANÇA DO TRABALHO,155
5/3/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,90
5/3/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,1,TESTE DE CONEXÃO,150
6/3/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,7,FINANCIAMENTO DE PESQUISAS,120
6/3/2018,SIG SENTINELAS EM AÇÃO,SIG,8,SEGURANÇA DO PACIENTE NA PREVENÇÃO DE DANOS DECORRENTE DE QUEDAS,70
6/3/2018,SIG SIMULAÇÃO EM SAÚDE,SIG,2,ARQUITETURA E IMPLANTAÇÃO DE LABORATÓRIOS DE SIMULAÇÃO EM ÁREAS ACADÊMICAS E ASSISTENCIAIS,60
6/3/2018,TESTE DE CONEXÃO - BANCA,TESTE DE BANCA,1,TESTE DE CONEXÃO,30
8/3/2018,PROJETO TELESSAÚDE - AMBAC,WEBCONFERÊNCIA,1,TELECONSULTORIA,150
8/3/2018,SIG RCP*,SIG,1,DISCUSSÃO PARA MELHORIA DO SIG,60
8/3/2018,TESTE DE APRESENTAÇÃO COM ALUNO(A),TESTE DE BANCA,1,TESTE DE APRESENTAÇÃO,30
9/3/2018,QUALIFICAÇÃO DE TESE DE DOUTORADO,BANCA DOUTORADO,9,AUTONOMIA REPRODUTORA DE MULHERES QUILOMBOLAS,125
12/3/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,85
12/3/2018,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,8,HIPERTIREOIDISMO NEONATAL: RELATO DE CASO E DISCUSSÃO,65
12/3/2018,REUNIÃO DO CINECLUBINHO,REUNIÃO DRª SUZY,4,REUNIÃO CINECLUBINHO,90
13/3/2018,SIG SENTINELAS EM AÇÃO,SIG,6,SEGURANÇA DO PACIENTE NA PREVENÇÃO DE LESÃO POR PRESSÃO,65
13/3/2018,TESTE DE CONEXÃO - BANCA,TESTE DE BANCA,1,TESTE DE CONEXÃO,30
14/3/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,13,OCLUSÃO ARTERIAL AGUDA,87
