DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/11/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA ,GRAVAÇÃO VÍDEOAULA,1,ESOFAGITE EOSINOFÍLICA NA INFÂNCIA,60
1/11/2018,SIG RCP,SIG,1,REUNIÃO ADMINISTRATIVA,69
5/11/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,88
5/11/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,51
6/11/2018,WEBCONFERÊNCIA HEPATOLOGIA,WEBCONFERÊNCIA,5,DISCUSSÃO DE CASOS EM HEPATOTOXIDADE,45
6/11/2018,SIG SENTINELAS EM AÇÃO,SIG,3,FERRAMENTAS PARA A GESTÃO DE RISCOS: COMO PODEM SER UTILIZADAS NA ANÁLISE E INVESTIGAÇÃO DE INCIDENTES EM SERVIÇOS DE SAÚDE?,62
7/11/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,ISQUEMIA VISCERAL: DOENÇA RENAL / ARTIGO CIENTÍFICO,150
7/11/2018,SESSÃO CLÍNICA DE PNEUMO-RADIOLOGIA,SESSÃO,17,DISCUSSÃO DE CASOS CLÍNICOS,85
7/11/2018,SEMINÁRIO TELESSAÚDE BAHIA 5 ANOS,WEBCONFERÊNCIA,1,SEMINÁRIO TELESSAÚDE BAHIA 5 ANOS,120
8/11/2018,REUNIÃO PPGENF,VIDEOCONFERÊNCIA,11,REUNIÃO DO PROGRAMA DE PÓS GRADUAÇÃO EM ENFERMAGEM,90
8/11/2018,WEBCONFERÊNCIA TELESSAÚDE,WEBCONFERÊNCIA,1,EMPRÉSTIMO DA SALA VIRTUAL,120
8/11/2018,WEBCONFERÊNCIA TELESSAÚDE,WEBCONFERÊNCIA,1,EMPRÉSTIMO DA SALA VIRTUAL,240
8/11/2018,DEFESA DE TESE DE DOUTORADO,BANCA DOUTORADO,4,ENSAIO CLÍNICO RANDOMIZADO  ABERTO  COMPARANDO A SEGURANÇA E EFICÁCIA DE UMA  DUAS OU TRÊS DOSES SEMANAIS DE ISOTIONATO DE PENTAMEDINA (7ML/KG) NO TRATAMENTO DA LEISHMANIOSE CULTÂNEA NO AMAZONAS,185
9/11/2018,SIG TERAPIA OCUPACIONAL,SIG,1,TERAPIA OCUPACIONAL EM CONTEXTOS HOSPITALARES E CUIDADOS PALIATIVOS - PROJETO ONCOJOVEM: SOBRE ADOLESCENTE COM CÂNCER,60
12/11/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,78
12/11/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,66
13/11/2018,SIG SENTINELAS EM AÇÃO,SIG,1,CULTURA DE SEGURANÇA,60
13/11/2018,REUNIÃO PPGENF,VIDEOCONFERÊNCIA,14,REUNIÃO DO PROGRAMA DE PÓS GRADUAÇÃO EM ENFERMAGEM,120
13/11/2018,QUALIFICAÇÃO DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,3,CONSTRUÇÃO E VALIDAÇÃO DA SOCIAL ANXIETY DISORDER EXPOSURE AND EVALUATION SCALE - SADEE,120
13/11/2018,SIG DOENÇAS NEUROMUSCULARES,SIG,1,GENÉTICA E EPDEMIOLOGIA DA ESCLEROSE LATERAL AMIOTRÓFICA,60
14/11/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,9,ISQUEMIA MESENTERICA / ARTIGO CIENTÍFICO,95
14/11/2018,REUNIÃO INTERNATO,REUNIÃO DRª SUZY,10,REUNIÃO INTERNATO,60
14/11/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,GRUPO DE VISTORIA SST,110
19/11/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,90
19/11/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,80
19/11/2018,SESSÃO DE CASOS PÉ DIABÉTICO,SESSÃO,4,DISCUSSÃO DE CASOS CLÍNICOS,40
20/11/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA ,GRAVAÇÃO VÍDEOAULA,1,TUBERCULOSE NA INFÂNCIA,32
21/11/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,10,VASCULITES : TROMBOANGEITE OBLITERANTE / ARTRITE DE TAKAYASU / ARTRITE TEMPORAL / ARTIGO CIENTÍFICO,85
22/11/2018,CONGRESSO HUPES,VIDEOCONFERÊNCIA,19,MICROEXPERIMENTAÇÕES EM TECNOLOGIAS DA COMUNICAÇÃO,80
22/11/2018,CONGRESSO HUPES,VIDEOCONFERÊNCIA,62,MESA REDONDA - CRIANÇAS E ADOLESCENTES NO MUNDO DAS TELAS,90
22/11/2018,CONGRESSO HUPES,UTILIZAÇÃO DE AUDITÓRIO,47,A SESSÃO INTERDISCIPLINAR COMO UM DISPOSITIVO PEDAGÓGICO DA FORMAÇÃO PARA O SUS,90
22/11/2018,CONGRESSO HUPES,UTILIZAÇÃO DE AUDITÓRIO,27,TRATAMENTO MULTI E INTERDISCIPLINAR  NO PACIENTE COM FISSURA LABIOPALATINA,80
23/11/2018,CONGRESSO HUPES,UTILIZAÇÃO DE AUDITÓRIO,38,SESSÃO DE TEMAS LIVRES,260
23/11/2018,CONGRESSO HUPES,UTILIZAÇÃO DE AUDITÓRIO,20,CÂNCER DE BOCA: DA PREVENÇÃO A REABILITAÇÃO,80
23/11/2018,CONGRESSO HUPES,VIDEOCONFERÊNCIA,34,A MEDICINA DO FUTURO,40
26/11/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,60
26/11/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,74
27/11/2018,DEFESA DE TESE DE DOUTORADO,BANCA DOUTORADO,19,PREVALÊNCIA E FATORES DE RISCO DE TRANSMISSÃO VERTICAL DO HIV  HTLV  HBV  HCV  EM SALADOR  BAHIA,150
27/11/2018,SIG SENTINELAS EM AÇÃO,SIG,2,NOTIFICAÇÃO E ANÁLISE DE INCIDENTES: COMO MELHORAR A APRENDIZAGEM?,60
28/11/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,LUPÚS ERITEMATOSO SISTÊMICO,90
28/11/2018,WEBCONFERÊNCIA ENFERMAGEM,WEBCONFERÊNCIA,1,MESA REDONDA - REDES REGIONALIZADAS DE ATENÇÃO À SAÚDE: DESAFIOS À INTEGRAÇÃO E À COORDENAÇÃO DO CUIDADO,170
29/11/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,5,INSUFICIÊNCIA RENAL E AJUSTE DE DOSE DE MEDICAMENTOS,90
30/11/2018,SIG ENFERMAGEM EM OFTALMOLOGIA,SIG,1,ELABORAÇÃO DE AGENDA COM TODOS OS PARTICIPANTES  DEFINIÇÃO DE TEMAS 2019,65
30/11/2018,VIDECONFERÊNCIA EEUFBA,VIDEOCONFERÊNCIA,42,PESQUISA ORIENTADA - FORMAÇÃO DE PROFESSORES,180
