DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
4/4/2017,SIG AVC,SIG,5,DISCUSSÃO DE CASOS CLÍNICOS,60
4/4/2017,SIG SENTINELAS EM AÇÃO,SIG,4,PROTOCOLOS CLÍNICOS MULTIPROFISSIONAIS,60
4/4/2017,SIG SIMULAÇÃO EM SAÚDE,SIG,5,SIMULAÇÃO MÉDICO-CIRURGIA: RESGATANDO A BIOLOGIA DO ESPAÇO CONQUISTADO PELA ENGENHARIA,60
5/4/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,13,INSUFUCIÊNCIA VENOSA CRÔNICA,60
5/4/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,22,O QUE AS SOROLOGIAS ANÔMALAS DA HEPATITE B PODEM CLINICAMENTO SIGNIFICAR,70
7/4/2017,SIG TÉCNICO OPERACIONAL,SIG,1,TRANSMISSÕES: SOBRE PROCEDIMENTOS- TRANSMISSÃO DE CIRURGIA,120
10/4/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,90
10/4/2017,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,9,DIABETES NEONATAL COM DIAGNÓSTICO AOS 13 ANOS,40
10/4/2017,DEFESA DE TESE DE DOUTORADO,BANCA DOUTORADO,13,ACURÁCIA E REPRODUTIBILIDADE DE UM SCORE PEDIÁTRICO DE ALERTA PRECOCE DE DETERIORIZAÇÃO CLÍNICA,150
11/4/2017,SIG SENTINELAS EM AÇÃO,SIG,4,REAÇÕES TRANSFUSIONAIS IMEDIATAS,60
12/4/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,13,TRATAMENTO DE INSUFICIÊNCIA VENOSA CRÔNICA,90
12/4/2017,REUNIÃO FARMÁCIA,VIDEOCONFERÊNCIA,6,PESQUISA FARMÁCIA,150
12/4/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,PROFILAXIA DA REATICAÇÃO DA HEPATITE B COM IMUNOBIOLOGICOS E QUIMIOTERAPIA,90
12/4/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,REUNIÃO EBSERH,90
17/4/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,90
17/4/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,6,AQUISIÇÃO DE REP´S,120
18/4/2017,SIG SENTINELAS EM AÇÃO,SIG,3,A COMUNICAÇÃO CONSCIENTE E SEU VALOR PARA A SEGURANÇA DO PACIENTE,60
19/4/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,13,VARIZES DE MMII: TRATAMENTO- FISIOPATOLOGIAS E DIAGNÓSTICO,75
19/4/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,REUNIÃO DE OUVIDORES DE HOSPITAIS UNIVERSITÁRIOS E EBSERH SEDE,49
20/4/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - INFECTOLOGIA,GRAVAÇÃO VÍDEOAULA,1,BUSCA NA INTERNET DAS FICHAS DE DOENÇAS E AGRAVOS DE NOTIFICAÇÃO COMPULSÓRIA,15
20/4/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,CONSTIPAÇÃO INTESTINAL,60
24/4/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,60
25/4/2017,SIG SENTINELAS EM AÇÃO,SIG,1,GOVERNANÇA CLÍNICA,60
25/4/2017,SESSÃO CLÍNICA PNEUMO-RADIOLOGIA,SESSÃO,12,DISCUSSÃO DE CASOS CLÍNICOS,70
26/4/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,TRATAMENTOS DE VARIZES DE MMII,90
26/4/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,13,TRATAMENTO DA HEPATITE C COM O VIEKIRA PAK E SUA INCORPORAÇÃO NO PCDT,90
26/4/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,REUNIÃO MODELO CHECKLIST,100
26/4/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,4,SISTEMA DE GESTÃO DE PESQUISAS,90
27/4/2017,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,3,O FUTURO DAS CRIANÇAS COM MICROCEFALIA,75
