DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
2/4/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,80
2/4/2018,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,20,REUNIÃO DO INTERNATO,120
3/4/2018,SIG AVC,SIG,9,AVC E SUS,60
3/4/2018,SIG SENTINELAS EM AÇÃO,SIG,8,PROTOCOLO SEPSE,60
3/4/2018,SIG SIMULAÇÃO EM SAÚDE,SIG,6,CRM,60
4/4/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,15,INSUFICIÊNCIA VENOSA CRÔNICA,80
4/4/2018,WEBCONFERÊNCIA - TRANSPLANTE CARDÍACO,WEBCONFERÊNCIA,2,DISCUSSÃO DE CASOS CLÍNICOS,90
5/4/2018,WEBPALESTRA TELESSAÚDE,WEBCONFERÊNCIA,3,MANEJO DAS ALTERAÇÕES NOS EXAMES PREVENTIVO DO CÂNCER DO COLO UTERINO,60
5/4/2018,PROJETO TELESSAÚDE - AMBAC,WEBCONFERÊNCIA,1,TELECONSULTORIA,150
9/4/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,90
9/4/2018,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,14,HIPOFOSFOTASIA: MANIFESTAÇÕES E ASSOCIAÇÕES INCOMUNS,65
9/4/2018,REUNIÃO - PROGRAMA TELESSAÚDE - HUPES,REUNIÃO DRª SUZY,7,REUNIÃO - PROGRAMA TELESSAÚDE - HUPES,180
10/4/2018,SIG SENTINELAS EM AÇÃO,SIG,3,PROTOCOLO DE DOR TORÁCICA,35
10/4/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,DIRETRIZES PARA AVALIAÇÕES DE TECNOLOGIAS EM SAÚDE REDE EBSERH,120
10/4/2018,SIG DOENÇAS NEUROMUSCULARES,SIG,2,ELABORAÇÃO DE PROTOCOLOS PARA DIAGNÓSTICO DAS MIOPATIAS,60
