DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
27/1/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,LINFAGITES,90
1/2/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS,60
2/2/2016,SIG AVC,SIG,3,TRATAMENTO DE VASCULITES NO AVC,60
12/2/2016,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,18,REUNIÃO PEDIATRIA,90
17/2/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,18,REUNIÃO CIRURGIA VASCULAR,30
19/2/2016,SIG TELEPSIQUIATRIA,SIG,11,VIOLÊNCIA E MAUS TRATOS CONTRA O IDOSO,120
22/2/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS,60
23/2/2016,SIG SENTINELAS EM AÇÃO,SIG,3,O ENFERMEIRO COMO EDUCADOR NA REABILITAÇÃO CARDÍACA,60
24/2/2016,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA DE MESTRADO,4,USO DO PLASMA RICO EM PLAQUETAS CPRPI EM ÚLCERAS VENOSAS: ENSAIO CLÍNICO RANDOMIZADO,120
25/2/2016,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA DE MESTRADO,1,ANÁLISE DE FATORES DE ESTRESSE- SINTOMAS DEPRESSIVOS E QUALIDADE DO SONO EM GRADUANDO EM ENFERMAGEM DO PRIMEIRO AO QUARTO ANO,160
26/2/2016,SIG UROLOGIA PEDIÁTRICA,SIG,3,ATUALIZAÇÃO EM UROLOGIA FETAL E NEONATAL: MMC E VUP,90
29/2/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,3,DISCUSSÃO DE CASOS,80
1/3/2016,SIG AVC,SIG,7,TRATAMENTO DA TVC COM NOVOS ANTICOAGULANTES ORAIS,60
1/3/2016,SIG SENTINELAS EM AÇÃO,SIG,4,GESTÃO DA QUALIDADE CONFORME REQUISITOS ISSO 9001:2008: ESTUDO DE CASO DE HOSPITAL FILANTRÓPICO,60
2/3/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,18,HIGH LIGHTS SOBRE O TRATAMENTO DA HEPATITE C- AASLD 2015,120
7/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS,60
8/3/2016,SIG SENTINELAS EM AÇÃO,SIG,2,MEDIDAS PREVENTIVAS DE PAV NO CTI DO HAG,60
8/3/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,CONTRATUALIZAÇÃO,72
9/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,OCLUSÃO ARTERIAL AGUDA,90
9/3/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,20,TRATAMENTO DA HEPATITE C- SEGUNDO O PCAT,120
9/3/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,DST/HIV,150
10/3/2016,SIG COLABORATIVO EM EDUCAÇÃO MÉDICA,SIG,1,EDUCAÇÃO PERMANENTE À DISTÂNCIA,60
14/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS,60
14/3/2016,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,11,DEFICIÊNCIA DE HORMÔNIO DE CRESCIMENTO: CRITÉRIOS- DIAGNÓSTICOS- E FASE DE TRANSIÇÃO,60
15/3/2016,SIG SENTINELAS EM AÇÃO,SIG,4,O SERVIÇO DE OUVIDORIA COMO FERRAMENTA DE SUPORTE ESTRATÉGICO À TOMADA DE DECISÕES NO CAMPO DA GESTÃO,60
16/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,10,DISCUSSÃO DE CASOS,60
16/3/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,21,TRATAMENTO DA HEPATITE C NO RENAL CRÔNICO,120
18/3/2016,SIG UROLOGIA PEDIÁTRICA,SIG,2,DISTÚRBIOS DE DIFERENCIAÇÃO SEXUAL: CONTROVÉRSIAS- COMO E QUANDO TRATAR,105
18/3/2016,SIG TELEPSIQUIATRIA,SIG,12,TRANSTORNO DE ESCORIAÇÃO,120
18/3/2016,EDUCAÇÃO EM SAÚDE,VIDEOCONFERÊNCIA,8,PROGRAMA DE APOIO AOS PROGRAMAS DE RESIDÊNCIA EM ÁREA PROFISSIOAL DE SAÚDE,120
21/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DOENÇA CRÔNICA AORTA-ILÍACA,60
22/3/2016,SIG SENTINELAS EM AÇÃO,SIG,2,ATUAÇÃO DO FARMACÊUTICO NA FARMÁCIA CLÍNICA,60
23/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,DOENÇA ARTERIAL OBSTRUTIVA,100
23/3/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,TRATAMENTO DA HEPATITE C NO RENAL CRÔNICO,90
28/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS,60
29/3/2016,SIG SENTINELAS EM AÇÃO,SIG,6,A FARMACOLOGIA NO NOVO TRATAMENTO DA HEPATITE C,60
30/3/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,FISIOPATOLOGIA E DIAGNÓSTICO,90
30/3/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,16,HEPATITE C: RESISTÊNCIA AOS DAAS COMO FERRAMENTA PARA TERAPÊUTICA DE RESGATE,95
1/4/2016,EDUCAÇÃO EM SAÚDE,VIDEOCONFERÊNCIA,9,PROGRAMA DE APOIO AOS PROGRAMAS DE RESIDÊNCIA EM ÁREA PROFISSIOAL DE SAÚDE,120
3/4/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,60
5/4/2016,SIG AVC,SIG,6,O USO DA TELEMEDICINA COMO ESTRATÉGIA PARA COMTEMPLAR A LINHA DE CUIDADOS AOS PACIENTES COM AVC,60
5/4/2016,SIG SENTINELAS EM AÇÃO,SIG,5,POLÍTICA DE GESTÃO DA QUALIDADE E SEGURANÇA COMO CONSTRUÍMOS UM MODELO DE EXCELÊNCIA,60
6/4/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,13,DISCUSSÃO DE CASOS OPERADOS,90
6/4/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,17,MANIFESTAÇÕES EXTRA-HEPÁTICAS DAS HEPATITES VIRAIS,100
6/4/2016,REUNIÃO TUTORIA PEDIATRIA,REUNIÃO DRª SUZY,2,REUNIÃO TUTORIA PEDIATRIA,120
7/4/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,17,CURSO FMEA,180
7/4/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,14,CURSO FMEA,220
8/4/2016,QUALIFICAÇÃO DE TESE DE DOUTORADO,BANCA DOUTORADO,16,MARCADORES DO GÊNERO NA PESQUISA EM SAÚDE DA MULHER NA ATENÇÃO PRIMÁRIA,225
11/4/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,90
11/4/2016,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,8,DISCUSSÃO DE CASOS CLÍNICOS,60
11/4/2016,REUNIÃO TUTORIA PEDIATRIA,REUNIÃO DRª SUZY,2,REUNIÃO TUTORIA PEDIATRIA,180
12/4/2016,SIG SENTINELAS EM AÇÃO,SIG,2,TEV - A BUSCA DA CERTIFICAÇÃO POR DISTINÇÃO,60
13/4/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,DOENÇA VARICOSA: FISIOPATOLOGIA,90
13/4/2016,REUNIÃO TUTORIA PEDIATRIA,REUNIÃO DRª SUZY,2,REUNIÃO TUTORIA PEDIATRIA,120
14/4/2016,SIG COLABORATIVO EM EDUCAÇÃO MÉDICA,SIG,2,DIAGNÓSTICO ATUAL DOS HU´S,80
14/4/2016,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,3,QUESTIONÁRIO DE QUALIDADE DE VIDA E DEGLUTIÇÃO PARA PACIENTE PARA PACIENTES COM DOENÇA DE PARKINSON: ELABOARAÇÃO E VALIDAÇÃO,140
15/4/2016,SIG TELEPSIQUIATRIA,SIG,8,DISCUSSÃO DE CASO CLÍNICO,120
