DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
4/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,INSUFICIÊCNCIA LINFÁTICA,60
9/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,90
11/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,ERISIPELA E LINFAGITES,90
16/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,APRESENTAÇÃO DE ARTIGO,60
16/1/2017,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,7,REUNIÃO INTERNATO,90
17/1/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,21,GESTÃO E FISCALIZAÇÃO DE CONTRATOS,270
18/1/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,18,GESTÃO E FISCALIZAÇÃO DE CONTRATOS,270
18/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,16,DISCUSSÃO DE CASOS OPERADOS,120
19/1/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,18,GESTÃO E FISCALIZAÇÃO DE CONTRATOS,270
23/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,90
25/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,10,SÍNDROMES COMPRESSIVAS VASCULARES,120
30/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,60
31/1/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,REUNIÃO EBSERH,90
