DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
3/7/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,110
4/7/2017,SIG AVC,SIG,7,O AVC E DIAGNÓSTICOS DIFERENCIAIS: MIMICS E CAMALEÕES,60
4/7/2017,SIG SENTINELAS EM AÇÃO,SIG,1,OMISSÃO NA ADMINISTRADÇÃO DE MEDICAMENTOS,60
5/7/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,15,AMPUTAÇÃO DOS MEMBROS INFERIORES E REABILITAÇÃO / ARTIGO CIENTÍFICO,120
5/7/2017,DEFESA DE TESE DE DOUTORADO,BANCA DOUTORADO,1,FATORES ASSOCIADOS AO S COMPORTAMENTOS DE RISCO PARA A SAÚDE EM  ADOLESCENTES DE BELO HORIZONTE,180
5/7/2017,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,3,REUNIÃO PEDIATRIA,60
7/7/2017,SIG TERAPIA OCUPACIONAL,SIG,5,QUALIDADE DE VIDA RELACIONADA À SAÚDE E USO DE TECNOLOGIA DE COMUNICAÇÃO ALTERNATIVA POR PESSOAS COM CÂNCER DE CABEÇA E PESCOÇO,90
10/7/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,80
10/7/2017,REUNIÃO ADMINISTRATIVA,REUNIÃO SRAS,3,REUNIÃO ADMINISTRATIVA,110
11/7/2017,SIG SENTINELAS EM AÇÃO,SIG,2,EXPERIÊNCIA EM RECUPERAÇÃO INTRA-OPERATÓRIA DE SANGUE (RIOS) NO INSTITUTO DR. JOSÉ FROTA,60
12/7/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,15,ANEURISMA DE AORTA ABDOMINAL,90
12/7/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,18,INFECÇÃO NO CIRRÓTICO,80
12/7/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,MODELO DE CHECKLIST,120
12/7/2017,REUNIÃO UFBA-SESAB,TELESSAÚDE,4,TELEREGULAÇÃO,100
13/7/2017,SIG REUMATOLOGIA PEDIÁTRICA,SIG,3,DISCUSSÃO DE CASO CLÍNICO,60
13/7/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,CICLO INTERMEDIÁRIO DE PEDIATRIA,60
13/7/2017,REUNIÃO ADMINISTRATIVA,REUNIÃO SRAS,3,REUNIÃO ADMINISTRATIVA,30
13/7/2017,SIG RCP,SIG,1,BRADI E TAQUIRRITIMIA NA PCR,60
17/7/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,80
18/7/2017,SIG SENTINELAS EM AÇÃO,SIG,4,TRATATIVA DOS EVENTOS SENTINELA DO INSTITUTO DR. JOSÉ FROTA - CONQUISTAS E DESAFIOS,60
19/7/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,15,ANEURISMA DE AORTA ABDOMINAL,120
19/7/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,35,DIAGNÓSTICO DIFERENFCIAL DOS NÓDULOS DO FÍGADO NA PRÁTICA CLÍNICA,75
20/7/2017,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,15,NOVO AIDPI CRIANÇA: LANÇAMENTO DOS MANUAIS,60
20/7/2017,SIG TRAUMA – CIRURGIA-  EMERGÊNCIA E TRAUMA,SIG,3,TRUMA HEPÁTICO- CONTROLE DE DANO- TRAUMA DE VEIA CAVA INFERIOR- INFRA E RETRO-HEPÁTICO,60
21/7/2017,SIG TELECOLOPROCTOLOGIA,SIG,3,DISCUSSÃO DE CASOS CLÍNICOS,90
24/7/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,124
24/7/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - UROLOGIA,GRAVAÇÃO VÍDEOAULA,1,INCONTINÊNCIA URINÁRIA NO ADULTO,60
25/7/2017,SESSÃO CLÍNICA PNEUMO-RADIOLOGIA,SESSÃO,10,DISCUSSÃO DE CASOS CLÍNICOS,90
26/7/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,16,ANEURISMA ROTO,120
26/7/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,22,DISCUSSÃO DE CASOS CLÍNICOS: HEPATITE AUTO-IMUNE,60
26/7/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,MODELO DE CHECKLIST,120
31/7/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,120
31/7/2017,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,13,REUNIÃO PEDIATRIA,60
31/7/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - UROLOGIA,GRAVAÇÃO VÍDEOAULA,1,INCONTINÊNCIA URINÁRIA,60
