DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
5/6/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,TVP: TRATAMENTO,90
5/6/2017,REUNIÃO DA DISCIPLINA MED B51,REUNIÃO DRª SUZY,6,TCC,90
6/6/2017,SIG AVC,SIG,4,APLICAÇÕES ATUAIS DO DOOPLER TRANSCRANIANO NA DOENÇA CEREBROVASCULAR,40
6/6/2017,SIG SENTINELAS EM AÇÃO,SIG,1,O USO DE DADOS DE TECNOVIGILÂNCIA NA AVALIAÇÃO DE TECNOLOGIAS EM SAÚDE,60
6/6/2017,SIG SIMULAÇÃO EM SAÚDE,SIG,4,SIMULAÇÃO EM SITU,60
6/6/2017,MESTRADO EM ASSISTÊNCIA FARMACÊUTICA,WEBCONFERÊNCIA,4,AULA 04 - PROJETOS,190
7/6/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,HEMODIÁLISE,90
7/6/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,24,COMPLICAÇÕES METABÓLICAS DO VHC RI E DIABETE,65
8/6/2017,SIG REUMATOLOGIA PEDIÁTRICA,SIG,2,DISCUSSÃO DE CASOS CLÍNICOS,60
8/6/2017,SIG RCP,SIG,1,MANEJO DE TAQUIARRITIMIAS NA PCR,50
8/6/2017,SIG COLABORATIVO EM EDUCAÇÃO MÉDICA,SIG,1,ENSINO À DISTÂNCIA: DESAFIOS E CONQUISTAS,60
9/6/2017,SIG TÉCNICO OPERACIONAL,SIG,2,MCU: PROTOCOLOS- FUNÇÕES- SUPORTE E USO,120
12/6/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,90
12/6/2017,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,9,AVALIAÇÃO DA TRIAGEM HAC NO RS,60
13/6/2017,SIG SENTINELAS EM AÇÃO,SIG,3,COSMETOVIGILÂNCIA- UMA ANÁLISE DAS MODIFICAÇÕES EM HOSPITAIS,60
13/6/2017,MESTRADO EM ASSISTÊNCIA FARMACÊUTICA,WEBCONFERÊNCIA,7,APRESENTAÇÃO DE SEMINÁRIOS,240
13/6/2017,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,10,NÍVEL DE ESTRESSE E FATORES PREDITIVOS EM UNIVERSITÁRIOS DE ENFERMAGEM / FATORES ASSOCIADOS AO PADRÃO DE SONO EM UNIVERSITÁRIOS DE ENFERMAGEM,180
14/6/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,18,PÉ DIABÉTICO NEUROPÁTICO,100
14/6/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,26,HEPATITE C: CHC CURA COM DAAS? MITO OU REALIDADE,150
14/6/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,GRUPO DE TRABALHO SST,70
19/6/2017,SIG ODONTOLOGIA - DIAGNÓSTICO BUCAL,SIG,3,NECRÓLISE EPIDÉRMICA TÓXICA: RELATO DE CASO COM MANIFESTAÇÕES BUCAIS INCOMUNS EM PESSOA VIVENDO COM AIDS/HIV,40
20/6/2017,SIG SENTINELAS EM AÇÃO,SIG,2,PROTOCOLOS TRANSFUSIONAIS,60
21/6/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,O PÉ DIABÉTICO INFECCIOSO,90
21/6/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,17,ADENOMA HEPÁTICO - ATUALIZAÇÃO,80
22/6/2017,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,1,SÍNDROME DA INFECÇÃO CONGÊNITA PELO VÍRUS ZIKA: EXPERIÊNCIA DE 01 ANO DE ACOMPANHAMENTO,60
26/6/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,60
27/6/2017,SIG SIMULAÇÃO EM SAÚDE,SIG,5,OS DESAFIOS DA SIMULAÇÃO CLÍNICA NO CONTEXTO EDUCACIONAL,60
28/6/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,16,PREVENÇÃO EM PÉ DIABÉTICO,120
28/6/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,TRATAMENTO ATUAL DA NASH,80
29/6/2017,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,9,EFETIVIDADE TERAPÊUTICA E SEGURANÇA DO TELAPREVIR E BOCEPREVIR NO TRATAMENTO DA HEPATITE C,170
29/6/2017,SIG TRAUMA – CIRURGIA-  EMERGÊNCIA E TRAUMA,SIG,22,TRAUMA DUODENO PANCREÁTICO,90
30/6/2017,SIG UROLOGIA PEDIÁTRICA,SIG,9,AMPLIAÇÃO VISICAL (TÉCNICAS) E TRANSPLANTE / ESTADO ATUAL DE TRANSPLANTE PEDIÁTRICO EM PATOLOGIAS UROLÓGICAS,90
