DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
2/5/2017,SIG AVC,SIG,4,ESTRATÉGIAS PARA MELHORIA DE PROTOCOLOS AVC E TEMPOS DE ATENDIMENTO,60
2/5/2017,MESTRADO EM ASSISTÊNCIA FARMACÊUTICA,WEBCONFERÊNCIA,2,AULA INAUGURAL,30
3/5/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,13,TELANGECTASIA E MICROVARIZES,60
3/5/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,20,ARTIGO DE REVISÃO: ESPESSAMENTO PARIENTAL DA VESÍCULA BILIAR NO EXAME USG: COMO INTERPRETAR?,50
4/5/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - EPIDEMIOLOGIA,GRAVAÇÃO VÍDEOAULA,1,FICHA PARA NOTIFICAÇÕES DE DOENÇAS,30
5/5/2017,QUALIFICAÇÃO DE TESE DE DOUTORADO,BANCA DOUTORADO,5,MONITORAMENTO REMOTO DE ENFERMAGEM DE MULHERES COM EXCESSO DE PESO,165
8/5/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,60
8/5/2017,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,8,DISCUSSÃO DE CASOS CLÍNICOS,60
9/5/2017,SIG SENTINELAS EM AÇÃO,SIG,1,CORRELAÇÃO ENTRE BASES DE DADOS DO REGISTRO DE MEDICAMENTOS BIOLÓGICOS E DO NOTIVISA,60
9/5/2017,AULA INAUGURAL PPGENF 2017,VIDEOCONFERÊNCIA,27,REDE PANAMERICANA DE CENTROS COLABORADORES DA OMS PARA O DESENVOLVIMENTO DA ENFERMAGEM: DESAFIOS E TENDÊNCIAS,80
9/5/2017,MESTRADO EM ASSISTÊNCIA FARMACÊUTICA,WEBCONFERÊNCIA,5,REUNIÃO DE DEFINIÇÃO DE TEMAS,60
10/5/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,DISCUSSÃO DE CASOS OPERADOS,120
10/5/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,23,RECOMENDAÇÕES DA EASL SOBRE PREVENÇÃO- DIAGNÓSTICO E TRATAMENTO DE CÁLCULOS BILIARES,80
10/5/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,DISCUSSÃO DO MODELO CHECKLIST DE DIAGNÓSTICO E DA MINUTA DO POP - VISTORIAS INTERNAS DE SST,120
11/5/2017,SIG COLABORATIVO EM EDUCAÇÃO MÉDICA,SIG,2,ROLE PLAY COMO ESTRATÉGIA DE ENSINO APRENDIZAGEM,60
11/5/2017,SIG RCP,SIG,1,RCP EM PEDIATRIA,60
15/5/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,DISCUSSÃO DE CASOS OPERADOS,90
16/5/2017,MESTRADO EM ASSISTÊNCIA FARMACÊUTICA,WEBCONFERÊNCIA,3,AULA 01 - PROJETOS,100
17/5/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,TVP: TRATAMENTO,130
17/5/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,12,DISCUSSÃO DE CASOS CLÍNICOS,90
18/5/2017,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,1,A LUTA EM PROL DOS PACIENTES COM DOENÇAS RARAS,60
19/5/2017,SIG TELECOLOPROCTOLOGIA,SIG,3,DISCUSSÃO DE CASOS CLÍNICOS,75
22/5/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,DISCUSSÃO DE CASOS OPERADOS,90
23/5/2017,SIG SENTINELAS EM AÇÃO,SIG,2,FARMÁCIA CLÍNICA: UM RELATO DE EXPERIÊNCIA,60
23/5/2017,MESTRADO EM ASSISTÊNCIA FARMACÊUTICA,WEBCONFERÊNCIA,5,METODOLOGIA DE ATENÇÃO FARMACÊUTICA,80
