DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
2/3/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,OUVIDORIA,100
3/3/2015,SIG AVC,SIG,7,NOVOS ANTICOAGULANTES - INDICAÇÕES DE CONSENSO E OFF-LABEL,60
4/3/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,DIAGNÓSTICO DIFERENCIAL POR IMAGEM DOS NÓDULOS BENIGNOS DO FÍGADO,120
5/3/2015,VIDEOCONFERÊNCIA ARQUITETURA,VIDEOCONFERÊNCIA,4,REUNIÃO CENTRO DE TRANSPLANTES,50
6/3/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,DIVISÃO DE PROJETOS E MAPEAMENTO DE COMPETÊNCIAS,120
9/3/2015,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,9,AMBULATÓRIO DE PESQUISA EM OBESIDADE INFANTIL,60
11/3/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,17,HCV / HTLV 1: UMA COINFECÇÃO POUCO CONHECIDA,120
13/3/2015,SIG TELEPSIQUIATRIA,SIG,13,DOENÇA DE ALZHEIMER E ENVELHECIMENTO: ATÉ QUE PONTO ESTA RELAÇÃO EXISTE?,120
17/3/2015,SIG PNEUMOLOGIA,SIG,2,CIGARRO ELETRÔNICO: VENENO OU REMÉDIO,90
17/3/2015,VIDEOCONFERÊNCIA NEUROCIÊNCIAS,VIDEOCONFERÊNCIA,11,JORNALISMO CIENTÍFICO,150
18/3/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,20,NOVOS ESQUEMAS TERAPÊUTICOS PARA O GENOTIPO 3,90
21/3/2015,CURSO DE CIRURGIA - ENDONASAL, VIDEOCONFERÊNCIA,22,APRESENTAÇÃO DE CASOS CLÍNICOS,240
23/3/2015,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,1,DESEMPENHO DOS INDICADORES DE QUALIDADE DA ASSISTÊNCIA NA FASE AGUDA DO INFARTO DO MIOCÁRDIO,215
25/3/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,19,TRATAMENTO DO DISTÚRBIO DO SONO EM PACIENTES CIRRÓTICOS,100
25/3/2015,SIG GESTÃO DE HU-S,SIG,2,ENGENHARIA CLÍNICA EM HU-S: A IMPORTÂNCIA DA ENGENHARA CLÍNICA- ATUAÇÃO- RESPONSABILIDADE E ATIVIDADES NECESSÁRIAS PARA O HU,60
26/3/2015,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,10,ORGANIZAÇÃO DA REDE DE CUIDADOS MATERNO INFANTIL - REDE CEGONHA,60
27/3/2015,SIG UROLOGIA PEDIÁTRICA,SIG,12,ATUALIZAÇÃO EM UROLOGIA FETAL: VUP E MMC,90
30/3/2015,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,1,DISCUSSÃO DE CASOS OPERADOS,70
31/3/2015,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,1,PERFIL DE UTILIZAÇÃO DE MEDICAMENTOS E CONCILIAÇÃO MEDICAMENTOSA EM PACIENTES ADMITIDOS EM UMA UNIDADE DE ONCOHEMATOLOGIA DE UM HOPITAL DO SUL DO BRASIL,150
