DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/11/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,DOENÇA RENOVASCULAR,120
1/11/2017,REUNIÃO ADMINISTRATIVA,REUNIÃO SRAS,5,REUNIÃO ADMINISTRATIVA,150
1/11/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,16,QUANDO O TRATAMENTO É ÚTIL OU FÚTIL NO PACIENTE CIRRÓTICO - CRITÉRIOS PROGNÓSTICOS,40
1/11/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,GRUPO DE TRABALHO SST,96
6/11/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,77
7/11/2017,SIG AVC,SIG,8,AVE E HEMINEGLIGÊNCIA: ABORDAGEM NO PROGRAMA DE REABILITAÇÃO,40
7/11/2017,SIG SENTINELAS EM AÇÃO,SIG,3,PROTOCOLO DE TRANSFUSÃO MACIÇA- EXPERIÊNCIA DO INSTITUTO DR. JOSÉ FROTA,60
7/11/2017,SIG SIMULAÇÃO EM SAÚDE,SIG,2,EXPERIÊNCIA DO USO DE SIMULAÇÃO EM PROGRAMA DE SELEÇÃO PARA RESIDÊNCIA MÉDICA,60
8/11/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,13,ISQUEMIA MESENTÉRICA / ARTIGO CIENTÍFICO,105
9/11/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - UROLOGIA,GRAVAÇÃO VÍDEOAULA,1,TUMOR DO RIM,110
10/11/2017,SIG TÉCNICO OPERACIONAL,SIG,2,REAL PRESENCE: CURSO E SUPORTE,65
10/11/2017,SIG TERAPIA OCUPACIONAL,SIG,6,A INTERVENÇÃO DA TERAPIA OCUPACIONAL NA CARDIOPATIA CONGÊNITA,90
13/11/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,21,ELABORAÇÃO DO TERMO DE REFERÊNCIA,240
13/11/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,60
14/11/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,23,ELABORAÇÃO DO TERMO DE REFERÊNCIA,240
