DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
1/9/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,DOENÇAS INFECTOCONTAGIOSAS,145
6/9/2016,SIG AVC,SIG,3,CAUSAS RARAS NO AVC,60
6/9/2016,SIG SIMULAÇÃO EM SAÚDE,SIG,9,SIMULAÇÃO GINECONLÓGICA E OBSTETRICA,60
8/9/2016,SIG RCP,SIG,1,TEP AGUDO,60
9/9/2016,SIG TERAPIA OCUPACIONAL,SIG,7,PROCESSO CONTRUTIVO DOS INDICADORES DE TERAPIA OCUPACIONAL,90
12/9/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,60
13/9/2016,SIG SENTINELAS EM AÇÃO,SIG,6,EFEITO DE UM CICLO DE MELHORIAS DA QUALIDADE NACIONAL APLICADO À ESTUTURAÇÃO DAS AÇÕES DE PREVENÇÃO DAS INFECÇÕES RELACIONADAS À ASSISTÊNCIA À SAÚDE,60
14/9/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,DOENÇA CAROTÍDEA: TRATAMENTO,120
14/9/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,12,ESTADIAMENTO DO CARCINOMA HEPATOCELULAR PELO BCLA,90
16/9/2016,SESSÃO TÉCNICO ASSESSOR,SESSÃO,1,HEPATITES VIRAIS,570
16/9/2016,SIG TELECOLOPROCTOLOGIA,SIG,5,DISCUSSÃO DE CASOS CLÍNICOS,60
19/9/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,APRESENTAÇÃO DE ARTIGO,90
20/9/2016,SIG SENTINELAS EM AÇÃO,SIG,3,INCIDENTES RELACIONADOS A ASSISTÊNCIA À SAÚDE,60
20/9/2016,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,ENGENHARIA CLÍNICA,30
21/9/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,90
21/9/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,19,QUIMIOEMBOLIZAÇÃO HEPÁTICA,50
26/9/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,90
26/9/2016,QUALIFICAÇÃO DE TESE DE DOUTORADO,BANCA DOUTORADO,22,CONSTITUIÇÃO DE SUJEITOS MILITANTES NA EMFERMAGEM: UM ESTUDO HISTÓRICO E FOUCOULTIANO,210
27/9/2016,SIG SENTINELAS EM AÇÃO,SIG,3,PERFIL DO HC-UNICAMP E ATUAÇÃO DO NÚCLEO DE SEGURANÇA DO PACIENTE,60
28/9/2016,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,10,DISCUSSÃO DE CASOS OPERADOS,90
28/9/2016,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,7,RADIOFREQUÊNCA NO TRATAMENTO DO CHC,70
30/9/2016,SIG UROLOGIA PEDIÁTRICA,SIG,4,REFLUXO VESICOURETRAL: QUANDO OPERAR- QUANDO INJETAR,90
