DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
6/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,REUNIÃO DE PLANEJAMENTO DE GRUPOS,120
6/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,4,UTILIZAÇÃO DE ATAS DE REGISTRO DE PREÇOS E MECANISMO DE CONTROLE DE MATERIAIS,120
13/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,AUDITORIA DE FOLHA DE PAGAMENTO,120
14/1/2015,VIDEOCONFERÊNCIA CETAD,VIDEOCONFERÊNCIA,1,CONSIDERAÇÕES SOCIOCLÍNICAS E ÉTICAS SOBRE SUBSTÂNCIAS PSICOATIVAS E SEUS CONSUMIDORES,120
16/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,ALINHAMENTO DE PROCESSOS,120
21/1/2015,VIDEOCONFERÊNCIA CETAD,VIDEOCONFERÊNCIA,1,PONTO DE CIDADANIA: TECNOLOGIAS UTILIZADAS PARA O ENCONTRO,120
23/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,6,REVISÃO DE ORGONOGRAMA HUPES,120
28/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,ENCONTRO DOS OUVIDORES DOS HOSPITAIS UNIVERSITÁRIOS,120
28/1/2015,VIDEOCONFERÊNCIA CETAD,VIDEOCONFERÊNCIA,2,AS CLÍNICAS DA DEPENDÊNCIA QUÍMICA,120
30/1/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,4,COMISSÃO DE RELAÇÃO DE TRABALHO E GTS,120
6/2/2015,WEBCONFERÊNCIA FARMÁCIA,WEBCONFERÊNCIA,1,ASSISTÊNCIA FARMACÊUTICA,90
9/2/2015,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,12,HIPOPATIREOIDISMO CONGÊNITO,60
24/2/2015,VIDEOCONFERÊNCIA RETSUS,VIDEOCONFERÊNCIA,1,EDUCAÇÃO NA SAÚDE,180
25/2/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,12,DISCUSSÃO DE CASOS CLÍNICOS,80
26/2/2015,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,7,ESTUDOS CARDIOVASCULARES NA INFÂNCIA,65
27/2/2015,QUALIFICAÇÃO DE TESE DE DOUTORADO,BANCA DOUTORADO,1,EXAME DE QUALIFICAÇÃO DE DOUTORADO,180
27/2/2015,VIDEOCONFERÊNCIA CECANE,VIDEOCONFERÊNCIA,5,NUTRIÇÃO,180
2/3/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,OUVIDORIA,100
3/3/2015,SIG AVC,SIG,7,NOVOS ANTICOAGULANTES - INDICAÇÕES DE CONSENSO E OFF-LABEL,60
4/3/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,15,DIAGNÓSTICO DIFERENCIAL POR IMAGEM DOS NÓDULOS BENIGNOS DO FÍGADO,120
5/3/2015,VIDEOCONFERÊNCIA ARQUITETURA,VIDEOCONFERÊNCIA,4,REUNIÃO CENTRO DE TRANSPLANTES,50
6/3/2015,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,DIVISÃO DE PROJETOS E MAPEAMENTO DE COMPETÊNCIAS,120
9/3/2015,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,9,AMBULATÓRIO DE PESQUISA EM OBESIDADE INFANTIL,60
11/3/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,17,HCV / HTLV 1: UMA COINFECÇÃO POUCO CONHECIDA,120
13/3/2015,SIG TELEPSIQUIATRIA,SIG,13,DOENÇA DE ALZHEIMER E ENVELHECIMENTO: ATÉ QUE PONTO ESTA RELAÇÃO EXISTE?,120
17/3/2015,SIG PNEUMOLOGIA,SIG,2,CIGARRO ELETRÔNICO: VENENO OU REMÉDIO,90
17/3/2015,VIDEOCONFERÊNCIA NEUROCIÊNCIAS,VIDEOCONFERÊNCIA,11,JORNALISMO CIENTÍFICO,150
18/3/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,20,NOVOS ESQUEMAS TERAPÊUTICOS PARA O GENOTIPO 3,90
21/3/2015,CURSO DE CIRURGIA - ENDONASAL, VIDEOCONFERÊNCIA,22,APRESENTAÇÃO DE CASOS CLÍNICOS,240
23/3/2015,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,1,DESEMPENHO DOS INDICADORES DE QUALIDADE DA ASSISTÊNCIA NA FASE AGUDA DO INFARTO DO MIOCÁRDIO,215
25/3/2015,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,19,TRATAMENTO DO DISTÚRBIO DO SONO EM PACIENTES CIRRÓTICOS,100
