DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
4/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,INSUFICIÊCNCIA LINFÁTICA,60
9/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,90
11/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,ERISIPELA E LINFAGITES,90
16/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,APRESENTAÇÃO DE ARTIGO,60
16/1/2017,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,7,REUNIÃO INTERNATO,90
17/1/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,21,GESTÃO E FISCALIZAÇÃO DE CONTRATOS,270
18/1/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,18,GESTÃO E FISCALIZAÇÃO DE CONTRATOS,270
18/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,16,DISCUSSÃO DE CASOS OPERADOS,120
19/1/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,18,GESTÃO E FISCALIZAÇÃO DE CONTRATOS,270
23/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,90
25/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,10,SÍNDROMES COMPRESSIVAS VASCULARES,120
30/1/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,60
31/1/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,REUNIÃO EBSERH,90
1/2/2017,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,9,REUNIÃO EBSERH,90
7/2/2017,TREINAMENTO ELSA,VIDEOCONFERÊNCIA,4,UTILIZAÇÃO GLOBODIET,300
7/2/2017,SIG AVC,SIG,6,O USO DE INIBIDORES DA RECAPTAÇÃO DE SEROTONINA NA REABILITAÇÃO DO AVC,60
7/2/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - SGPTI,GRAVAÇÃO VÍDEOAULA,1,SISTEMAS DE INFORMAÇÕES HOSPITALARES,55
8/2/2017,TREINAMENTO ELSA,VIDEOCONFERÊNCIA,4,UTILIZAÇÃO GLOBODIET,300
8/2/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,TRABALHO DE CONCLUSÃO DE CURSO,120
8/2/2017,SESSÃO CLÍNICA DE HEPATOLOGIA,SESSÃO,6,APRESENTAÇÃO DO PROJETO HEPATOLOGIA,60
8/2/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - SGPTI,GRAVAÇÃO VÍDEOAULA,1,SUBMISSÃO DE PROJETOS DE PESQUISA,55
10/2/2017,TREINAMENTO ELSA,VIDEOCONFERÊNCIA,4,UTILIZAÇÃO GLOBODIET,255
10/2/2017,SIG TÉCNICO OPERACIONAL,SIG,2,MCONF: TREINAMENTO PARA USO E OPERAÇÃO DE WEBCONFERÊNCIA,100
10/2/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - SVSSP,GRAVAÇÃO VÍDEOAULA,1,QUALIDADE E SEGURANÇA DO PACIENTE NO HUPES,35
12/2/2017,SIG TÉCNICO OPERACIONAL,SIG,1,POLYCOM / TANDBERG: CURSO- SUPORTE,120
12/2/2017,SIG TERAPIA OCUPACIONAL,SIG,6,A PESQUISA EM TERAPIA OCUPACIONAL EM CONTEXTOS HOSPITALARES E CUIDADOS PALIATIVOS,80
13/2/2017,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,70
13/2/2017,REUNIÃO DO INTERNATO,REUNIÃO DRª SUZY,4,REUNIÃO INTERNATO,60
14/2/2017,SIG SENTINELAS EM AÇÃO,SIG,2,CONECTORES E CONEXÃO: UM PROBLEMA QUE AFETA A SEGURANÇA DE PACIENTE,60
15/2/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - FÁRMACIA,GRAVAÇÃO VÍDEOAULA,1,POLÍTICA DE PRESCRIÇÃO DE MEDICAMENTOS,30
15/2/2017,GRAVAÇÃO DE VÍDEOAULA INTERNA - EPIDEMIOLOGIA,GRAVAÇÃO VÍDEOAULA,1,IMPORTÂNCIA DA NOTIFICAÇÃO PARA A SAÚDE PÚBLICA,20
