DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
3/7/2018,SIG AVC,SIG,8,TROMBOSE VENOSA CENTRAL,60
3/7/2018,SIG SENTINELAS EM AÇÃO,SIG,2,PLANO DE OTIMIZAÇÃO DOS TEMPOS PARA O ATENDIMENTO NO INFARTO AGUDO NO MIOCÁRDIO,60
3/7/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - MEDICINA LEGAL,GRAVAÇÃO VÍDEOAULA,1,LEIS DE REGISTROS PÚBLICOS,60
3/7/2018,WEBPALESTRA TELESSAÚDE,WEBCONFERÊNCIA,5,PROTOCOLO E DIRETRIZES,90
4/7/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,AMPUTAÇÃO DOS MEMBROS INFERIORES E REABILITAÇÃO / ARTIGO CIENTÍFICO,90
4/7/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,4,LANÇAMENTO DO GRAND CHAPTER EBSERH,150
5/7/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - MEDICINA LEGAL,GRAVAÇÃO VÍDEOAULA,1,DECLARAÇÃO DE ÓBITO,66
6/7/2018,SIG TERAPIA OCUPACIONAL,SIG,2,DISCUSSÃO DE CASOS,60
9/7/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,80
9/7/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,DISCUSSÃO DE CASOS OPERADOS,70
9/7/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - HEPATOLOGIA,GRAVAÇÃO VÍDEOAULA,1,JULHO AMARELO - HEPATITES VIRAIS,15
10/7/2018,SIG SENTINELAS EM AÇÃO,SIG,1,PROTOCOLO DE TABAGISMO,60
11/7/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,ANEURISMA DE AORTA ABDOMINAL: DIAGNÓSTICO  EPDEMIOLOGIA E EVOLUÇÃO NATURAL / ARTIGO CIENTÍFICO,85
11/7/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,PROJETO MAIS EBSERH,90
11/7/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - LAPI,GRAVAÇÃO VÍDEOAULA,1,PROJETO REDAÇÃO CIENTÍFICA - AULA 01,60
12/7/2018,WEBCONFERÊNCIA - REUNIÃO GERENTES,WEBCONFERÊNCIA,1,REUNIÃO DOS GERENTES,40
12/7/2018,REUNIÃO ADMINISTRATIVA,REUNIÃO SRAS,2,ATIVIDADE DO SRAS,40
12/7/2018,SIG RCP,SIG,4,CORONARIOPATIA E RCP,45
13/7/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - LAPI,GRAVAÇÃO VÍDEOAULA,1,PROJETO REDAÇÃO CIENTÍFICA - AULA 02,50
16/7/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,8,DISCUSSÃO DE CASOS OPERADOS,60
16/7/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,DISCUSSÃO DE CASOS OPERADOS,85
16/7/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,GRUPO DE VISTORIA SST,165
17/7/2018,SIG DEGLUTIÇÃO E DISFAGIA,SIG,5,ATUAÇÃO FONOAUDIOLÓGICA NO PACIENTE ADULTO DISFÁGICO EM UTI,68
17/7/2018,SIG SENTINELAS EM AÇÃO,SIG,2,PROTOCOLO DE TEV,60
17/7/2018,SIG DOENÇAS NEUROMUSCULARES,SIG,1,BIÓPSIA MUSCULAR NO DIAGNÓSTICO DE DOENÇAS NEUROMUSCULARES,60
18/7/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,ANEURISMA DE AORTA ABDOMINAL: TRATAMENTO / ARTIGO CIENTÍFICO,98
18/7/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,GRUPO DE VISTORIA SST,65
18/7/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - LAPI,GRAVAÇÃO VÍDEOAULA,1,PROJETO REDAÇÃO CIENTÍFICA - AULA 03,40
19/7/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,6,"ORIENTAÇÃO SOBRE O MODELO ""ORÇAMENTO BASE ZERO",75
20/7/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - LAPI,GRAVAÇÃO VÍDEOAULA,1,PROJETO REDAÇÃO CIENTÍFICA - AULA 04,60
23/7/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,8,DISCUSSÃO DE CASOS OPERADOS,60
23/7/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,DISCUSSÃO DE CASOS OPERADOS,60
24/7/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - MEDICINA LEGAL,GRAVAÇÃO VÍDEOAULA,1,BIOÉTICA E RELAÇÃO MÉDICO PACIENTE E FAMILIARES / DISCURSO MÉDICO E DANOS / COMUNICAÇÃO E REDUÇÃO DE DANOS NA ASSISTÊNCIA,40
25/7/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,ANEURISMA DE AORTA ABDOMINAL: ANEURISMA ROTO / ARTIGO CIENTÍFICO,100
25/7/2018,SESSÃO CLÍNICA PNEUMO-RADIOLOGIA,SESSÃO,20,DISCUSSÃO DE CASOS,90
