DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
4/6/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,75
4/6/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,GRUPO DE TRABALHO SST - EBSERH SEDE,70
5/6/2018,SIG SENTINELAS EM AÇÃO,SIG,5,RESÍDUOS DE SERVIÇOS DE SAÚDE - CLASSIFICAÇÃO E MANEJO DE RSS,60
5/6/2018,SIG SIMULAÇÃO EM SAÚDE,SIG,1,GERENCIAMENTO DE UM CENTRO DE SAÚDE,60
6/6/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,FÍSTULAS ARTÉRIO-VENOSAS PARA HEMODIÁLISE,120
6/6/2018,SESSÃO CLÍNICA PNEUMO-RADIOLOGIA,SESSÃO,16,DISCUSSÃO DE CASOS,120
7/6/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,NUTRIÇÃO PARENTERAL,120
7/6/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,NORMA OPERACIONAL MOBILIDADE - DISCUSSÃO DO PARECER JURÍDICO EBSERH,120
8/6/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,NUTRIÇÃO PARENTERAL,60
8/6/2018,TESTE DE CONEXÃO - BANCA,TESTE DE BANCA,1,TESTE DE CONEXÃO,30
11/6/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,70
11/6/2018,REUNIÃO ADMINISTRATIVA,REUNIÃO SRAS,4,REUNIÃO ADMINISTRATIVA,35
11/6/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,90
11/6/2018,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,7,CRESCIMENTO DE PREMATUROS,60
12/6/2018,SIG SENTINELAS EM AÇÃO,SIG,5,PROTOCOLO DE SUICÍDIO,60
12/6/2018,SIG DOENÇAS NEUROMUSCULARES,SIG,1,ABORDAGEM CLÍNICA NAS MIOPATIAS MAS FREQUENTES EM CRIANÇAS,60
13/6/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,PÉ DIABÉTICO NEUROPÁTICO / ARTIGO CIENTÍFICO,70
13/6/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,PROJETO MAIS EBSERH,90
14/6/2018,VIDEOCONFERÊNCIA MINISTÉRIO DA SAÚDE,VIDEOCONFERÊNCIA,3,CURSO CEEO,180
15/6/2018,REUNIÃO ADMINISTRATIVA,REUNIÃO SRAS,2,REUNIÃO ADMINISTRATIVA,75
18/6/2018,SESSÃO CLÍNICA DE CIRURGIA ENDOVASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,70
18/6/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO DE CASOS OPERADOS,45
18/6/2018,SIG ODONTOLOGIA - DIAGNÓSTICO BUCAL,SIG,6,TRANSPLANTE DE CÉLULAS TRONCO HEMATOPOIÉTICAS E CARCINOMA ESPINOCELULAR BUCAL: RELATO DE CASO,50
