DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
2/5/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,MICROVARIZES E TELANGIECTASIAS,90
3/5/2018,REUNIÃO ADMINISTRATIVA,REUNIÃO SRAS,3,ATIVIDADE DO SRAS,30
4/5/2018,REUNIÃO DO CINECLUBINHO,REUNIÃO DRª SUZY,10,REUNIÃO CINECLUBINHO,85
7/5/2018,SESSÃO CLÍNICA ENDOVASCULAR,SESSÃO,7,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,80
7/5/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DISCUSSÃO CLÍNICA DOS CASOS OPERADOS,40
8/5/2018,SIG AVC,SIG,8,RELAÇÃO ENTRE ARBOVIROSES E AVC,40
8/5/2018,SIG SENTINELAS EM AÇÃO,SIG,1,,40
8/5/2018,SIG DOENÇAS NEUROMUSCULARES,SIG,1,ABORDAGEM CLÍNICA NAS MIOPATIAS MAS FREQUENTES EM ADULTOS,60
9/5/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,14,TVP - FISIOPATOLOGIA E DIAGNÓSTICO,85
9/5/2018,WEBCONFERÊNCIA - TRANSPLANTE CARDÍACO,WEBCONFERÊNCIA,2,DISCUSSÃO DE CASOS CLÍNICOS,60
10/5/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,REMANEJAMENTO DE VAGAS REMANESCENTES,120
10/5/2018,SIG COLOBORATIVO EM EDUCAÇÃO MÉDICA,SIG,2,O SABER SENSÍVEL NO PROCESSO DE ENSINO-APRENDIZAGEM NAS GRADUAÇÕES EM SAÚDE,70
10/5/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - PEDIATRIA,GRAVAÇÃO VÍDEOAULA,1,FIBROSE CÍSTICA: UMA DOENÇA COM MÚLTIPLAS FORMAS CLÍNICAS,90
10/5/2018,WEB TELESSAÚDE UFPE,SESSÃO,4,PLATAFORMA HEALTHNET,150
11/5/2018,REUNIÃO ADMINISTRATIVA,REUNIÃO UROLOGIA,2,REUNIÃO UROLOGIA,170
11/5/2018,SIG TERAPIA OCUPACIONAL,SIG,6,TRABALHADORES DA SAÚDE: DESAFIOS DO CUIDADO - CUIDAR DE SÍ,90
14/5/2018,SESSÃO CLÍNICA ENDOVASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,60
14/5/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,95
14/5/2018,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,8,SÍNDROME DE PRADER-WILLI,75
15/5/2018,SIG SENTINELAS EM AÇÃO,SIG,3,PLANO TERAPÊUTICO,65
15/5/2018,SIG DEGLUTIÇÃO E DISFAGIA,SIG,10,DISFAGIA ESOFÁGICA,60
16/5/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,12,TVP - TRATAMENTO E PROFILAXIA,105
16/5/2018,SIMPÓSIO HUCAM - 50 ANOS,SESSÃO,1,,90
18/5/2018,TESTE DE CONEXÃO - BANCA,TESTE DE BANCA,1,TESTE DE APRESENTAÇÃO,30
18/5/2018,REUNIÃO ADMINISTRATIVA,REUNIÃO UGRL,2,REUNIÃO UGRL,40
21/5/2018,SESSÃO CLÍNICA ENDOVASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,75
21/5/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,6,DISCUSSÃO DE CASOS OPERADOS,55
21/5/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,5,CURSO - REFORMA TRABALHISTA,210
