DATA,ATIVIDADE,TIPO,PATICIPANTES,TEMA,TEMPO (MIN)
3/9/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,90
3/9/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - HEPATOLOGIA,GRAVAÇÃO VÍDEOAULA,1,HEPATOLOGIA DO MILÊNIO,15
3/9/2018,GRAVAÇÃO DE VÍDEO - COMPLEXO HUPES,GRAVAÇÃO VÍDEOAULA,1,DEPOIMENTO COMPLEXO HUPES,60
4/9/2018,SIG AVC,SIG,6,NEUROSSÍFILIS,60
4/9/2018,SIG SENTINELAS EM AÇÃO,SIG,7,MÉTODOS E FERRAMENTAS DA GETÃO DE RISCO EM SERVIÇOS DE SAÚDE,60
4/9/2018,SIG SIMULAÇÃO EM SAÚDE,SIG,2,SIMULAÇÃO INTERPROFISSIONAL,60
4/9/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,2,PARTICIPAÇÃO DOS EMPREGADOS NAS PESQUISAS PATROCINADAS,80
5/9/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,11,DOENÇA CAROTÍDEA EXTRA-CRANIANA,120
5/9/2018,VIDEOCONFERÊNCIA ANVISA,VIDEOCONFERÊNCIA,1,APRESENTAÇÃO DO VIGIMED,90
5/9/2018,SESSÃO CLÍNICA PNEUMO-RADIOLOGIA,SESSÃO,17,DISCUSSÃO DE CASOS,120
5/9/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,VISTORIA SST,150
10/9/2018,SIG ENDOCRINOLOGIA PEDIÁTRICA,SIG,7,PARTICULARIDADES DO DM ASSOCIADO A FIBROSE CÍSTICA,60
10/9/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,95
10/9/2018,WEBCONFERÊNCIA - TELESSAÚDE UFPE,WEBCONFERÊNCIA,2,CURSO TELEDIAGNÓSTICO,45
11/9/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,14,1º SIMPÓSIO EBSERH - QUALIDADE DE MEDICAMENTOS BIOLÓGICOS E BIOSSIMILARES,90
11/9/2018,SIG SENTINELAS EM AÇÃO,SIG,3,QUALIDADE E SEGURANÇA NO PROCESSO DE DOAÇÃO - TRANSPLANTE,35
11/9/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,3,GT - PARTICIPAÇÃO DE EMPREGADOS NAS PESQUISAS,120
11/9/2018,SIG DOENÇAS NEUROMUSCULARES,SIG,1,ELABORAÇÃO DE PROTOCOLOS PARA DIAGNÓSTICO DAS POLINEUROPATIAS HEREDITÁRIAS,60
12/9/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,7,DOENÇA CEREBROVASCULAR: ASSINTOMÁTICOS,75
13/9/2018,DEFESA DE DISSERTAÇÃO DE MESTRADO,BANCA MESTRADO,29,PERFIL CLÍNICO EPDEMIOLÓGICO DOS PACIENTES COM HIPERPARATIREODISMO SECUNDÁRIO ACOMPANHADO EM UM AMBULATÓRIO DE REFERÊNCIA EM SALVADOR - BAHIA,180
14/9/2018,VIDEOCONFERÊNCIA RUTE,VIDEOCONFERÊNCIA,1,INAUGURAÇÃO DA UNIDADE RUTE - SANTA CASA E HHCL,30
14/9/2018,SIG TERAPIA OCUPACIONAL,SIG,5,A TERAPIA OCUPACIONAL E AS TÉCNICAS DE CONSERVAÇÃO DE ENERGIA,70
17/9/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,5,DISCUSSÃO DE CASOS OPERADOS,135
18/9/2018,SIG SENTINELAS EM AÇÃO,SIG,3,VIVENCIANDO A INOVAÇÃO PARA A MELHORIA EM SERVIÇOS DE SAÚDE,60
18/9/2018,SIG DEGLUTIÇÃO E DISFAGIA,SIG,4,ASPIRAÇÃO TRAQUEAL NO LACTENTE SEM FATOR DE RISCO: ATUAÇÃO FONOAUDIOLÓGICA,65
19/9/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,8,DOENÇA CAROTÍDEA,195
19/9/2018,GRAVAÇÃO DE VÍDEOAULA INTERNA - MEDICINA LEGAL,GRAVAÇÃO VÍDEOAULA,1,IMUNODEFICIÊNCIA,60
20/9/2018,REUNIÃO COVIBRA,WEBCONFERÊNCIA,1,COVIBRA,70
24/9/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,4,DISCUSSÃO DE CASOS OPERADOS,90
24/9/2018,VIDEOCONFERÊNCIA EBSERH,VIDEOCONFERÊNCIA EBSERH,1,PARTICIPAÇÃO DOS EMPREGADOS DA EBSERH EM PESQUISAS PATROCINADAS,80
26/9/2018,SESSÃO CLÍNICA DE CIRURGIA VASCULAR,SESSÃO,9,SÍNDROME AÓRTICA AGUDA,90
27/9/2018,SIG SAÚDE DA CRIANÇA E DO ADOLESCENTE,SIG,1,SAÚDE EMOCIONAL E BEM ESTAR DE CRIANÇAS E ADOLESCENTES ON-LINE,70
